Timestamp(ms),Current(uA),D0-D7
16270,13410.276,00000000
16280,13319.512,00000000
16290,13330.889,00000000
16300,13214.273,00000000
16310,13283.734,00000000
16320,13289.618,00000000
16330,13260.696,00000000
16340,13213.328,00000000
16350,13468.261,00000000
16360,13350.412,00000000
16370,13228.580,00000000
16380,13389.394,00000000
16390,13486.014,00000000
16400,13443.195,00000000
16410,13713.993,00000000
16420,13538.523,00000000
16430,13414.219,00000000
16440,13417.515,00000000
16450,13769.757,00000000
16460,13565.761,00000000
16470,13425.539,00000000
16480,13339.155,00000000
16490,13350.913,00000000
16500,13368.517,00000000
16510,13358.862,00000000
16520,13356.188,00000000
16530,13598.804,00000000
16540,13621.275,00000000
16550,13708.665,00000000
16560,14071.510,00000000
16570,13796.028,00000000
16580,13662.566,00000000
16590,13741.529,00000000
16600,13636.053,00000000
16610,13653.322,00000000
16620,13766.606,00000000
16630,13864.924,00000000
16640,13927.368,00000000
16650,13971.079,00000000
16660,14456.884,00000000
16670,14214.134,00000000
16680,14094.443,00000000
16690,14184.726,00000000
16700,14243.919,00000000
16710,14253.203,00000000
16720,14188.870,00000000
16730,14273.259,00000000
16740,14262.575,00000000
16750,14311.248,00000000
16760,14679.081,00000000
16770,14613.964,00000000
16780,14408.055,00000000
16790,14328.645,00000000
16800,14276.124,00000000
16810,14265.359,00000000
16820,14307.985,00000000
16830,14302.700,00000000
16840,14109.025,00000000
16850,14048.755,00000000
16860,14261.326,00000000
16870,14319.665,00000000
16880,14107.283,00000000
16890,14064.123,00000000
16900,14010.636,00000000
16910,13957.239,00000000
16920,13979.980,00000000
16930,13998.910,00000000
16940,13878.066,00000000
16950,13930.613,00000000
16960,13921.801,00000000
16970,14506.185,00000000
16980,14106.732,00000000
16990,13762.757,00000000
17000,13567.167,00000000
17010,13600.671,00000000
17020,13536.597,00000000
17030,13565.967,00000000
17040,13491.010,00000000
17050,13545.353,00000000
17060,13474.955,00000000
17070,13765.771,00000000
17080,13791.110,00000000
17090,13620.603,00000000
17100,13543.397,00000000
17110,13471.200,00000000
17120,13444.712,00000000
17130,13487.790,00000000
17140,13160.039,00000000
17150,13100.466,00000000
17160,13039.086,00000000
17170,13219.032,00000000
17180,13320.583,00000000
17190,13068.910,00000000
17200,13015.799,00000000
17210,12907.018,00000000
17220,12931.234,00000000
17230,12876.733,00000000
17240,12897.308,00000000
17250,12846.413,00000000
17260,12824.250,00000000
17270,12836.332,00000000
17280,13189.024,00000000
17290,12891.857,00000000
17300,12515.338,00000000
17310,12360.417,00000000
17320,12281.362,00000000
17330,12331.098,00000000
17340,12334.030,00000000
17350,12400.644,00000000
17360,12411.828,00000000
17370,12446.381,00000000
17380,12654.053,00000000
17390,12829.339,00000000
17400,12651.060,00000000
17410,12735.789,00000000
17420,12606.950,00000000
17430,12710.932,00000000
17440,12404.039,00000000
17450,12304.224,00000000
17460,12340.398,00000000
17470,12292.460,00000000
17480,12287.197,00000000
17490,12939.157,00000000
17500,12580.786,00000000
17510,12509.118,00000000
17520,12476.078,00000000
17530,12456.952,00000000
17540,12499.820,00000000
17550,12523.982,00000000
17560,12613.084,00000000
17570,12695.171,00000000
17580,12691.077,00000000
17590,12990.600,00000000
17600,12497.689,00000000
17610,12393.296,00000000
17620,12211.013,00000000
17630,12341.107,00000000
17640,12315.876,00000000
17650,12437.919,00000000
17660,12375.856,00000000
17670,12420.309,00000000
17680,12354.806,00000000
17690,12397.460,00000000
17700,13035.176,00000000
17710,12624.228,00000000
17720,12503.667,00000000
17730,12394.973,00000000
17740,12203.123,00000000
17750,12119.894,00000000
17760,11990.422,00000000
17770,11970.458,00000000
17780,11945.947,00000000
17790,11926.424,00000000
17800,11874.337,00000000
17810,12449.362,00000000
17820,12081.188,00000000
17830,11952.547,00000000
17840,11782.956,00000000
17850,11769.805,00000000
17860,11709.209,00000000
17870,11679.897,00000000
17880,11624.632,00000000
17890,11555.557,00000000
17900,11426.944,00000000
17910,11319.407,00000000
17920,11560.771,00000000
17930,11271.576,00000000
17940,11113.597,00000000
17950,11016.674,00000000
17960,11023.141,00000000
17970,10960.887,00000000
17980,10880.532,00000000
17990,11007.442,00000000
18000,10949.717,00000000
18010,11029.362,00000000
18020,11463.087,00000000
18030,11247.184,00000000
18040,10952.877,00000000
18050,10868.938,00000000
18060,10707.529,00000000
18070,10754.572,00000000
18080,10722.764,00000000
18090,10691.542,00000000
18100,10618.958,00000000
18110,10736.554,00000000
18120,10624.743,00000000
18130,11224.987,00000000
18140,10924.346,00000000
18150,10868.351,00000000
18160,10730.543,00000000
18170,10757.081,00000000
18180,10761.990,00000000
18190,10813.814,00000000
18200,10662.701,00000000
18210,10464.929,00000000
18220,10454.906,00000000
18230,11113.316,00000000
18240,10576.914,00000000
18250,10487.016,00000000
18260,10471.822,00000000
18270,10391.906,00000000
18280,10414.265,00000000
18290,10413.084,00000000
18300,10371.585,00000000
18310,10459.827,00000000
18320,10466.423,00000000
18330,10925.584,00000000
18340,10581.510,00000000
18350,10755.233,00000000
18360,10860.064,00000000
18370,10861.165,00000000
18380,10885.507,00000000
18390,10868.990,00000000
18400,10833.990,00000000
18410,10931.489,00000000
18420,10881.880,00000000
18430,11477.042,00000000
18440,11115.800,00000000
18450,11061.328,00000000
18460,11032.045,00000000
18470,10953.564,00000000
18480,10921.176,00000000
18490,11000.575,00000000
18500,11336.237,00000000
18510,11553.273,00000000
18520,11489.647,00000000
18530,11538.071,00000000
18540,11921.079,00000000
18550,11514.116,00000000
18560,11203.527,00000000
18570,11204.120,00000000
18580,11209.277,00000000
18590,11203.943,00000000
18600,11156.563,00000000
18610,11239.604,00000000
18620,11241.966,00000000
18630,11117.616,00000000
18640,11721.972,00000000
18650,11184.037,00000000
18660,11178.545,00000000
18670,11213.768,00000000
18680,11203.117,00000000
18690,11232.680,00000000
18700,11282.745,00000000
18710,11309.592,00000000
18720,11201.045,00000000
18730,11244.635,00000000
18740,11762.245,00000000
18750,11627.929,00000000
18760,11356.283,00000000
18770,11338.272,00000000
18780,11408.900,00000000
18790,11339.013,00000000
18800,11354.729,00000000
18810,11697.663,00000000
18820,11748.816,00000000
18830,11791.455,00000000
18840,11835.555,00000000
18850,12662.668,00000000
18860,12215.911,00000000
18870,12037.771,00000000
18880,12018.959,00000000
18890,12021.450,00000000
18900,12105.452,00000000
18910,12099.649,00000000
18920,12102.777,00000000
18930,12095.235,00000000
18940,12044.573,00000000
18950,12828.843,00000000
18960,12797.368,00000000
18970,12803.129,00000000
18980,12809.676,00000000
18990,12867.785,00000000
19000,12788.179,00000000
19010,12756.859,00000000
19020,12618.138,00000000
19030,12663.317,00000000
19040,12619.008,00000000
19050,12677.055,00000000
19060,13115.343,00000000
19070,12754.652,00000000
19080,12577.086,00000000
19090,12541.008,00000000
19100,12428.576,00000000
19110,12390.657,00000000
19120,12571.570,00000000
19130,12643.156,00000000
19140,12690.822,00000000
19150,12692.306,00000000
19160,13064.606,00000000
19170,12742.570,00000000
19180,12619.318,00000000
19190,12542.827,00000000
19200,12439.491,00000000
19210,12531.547,00000000
19220,12465.657,00000000
19230,12451.130,00000000
19240,12353.104,00000000
19250,12311.934,00000000
19260,13122.708,00000000
19270,12842.909,00000000
19280,12820.278,00000000
19290,12809.712,00000000
19300,12773.215,00000000
19310,12818.816,00000000
19320,12943.551,00000000
19330,12932.782,00000000
19340,12939.354,00000000
19350,12975.119,00000000
19360,13058.418,00000000
19370,13530.584,00000000
19380,13287.036,00000000
19390,13213.025,00000000
19400,13337.385,00000000
19410,13331.275,00000000
19420,13586.805,00000000
19430,13702.488,00000000
19440,13727.521,00000000
19450,13705.838,00000000
19460,13728.191,00000000
19470,14572.495,00000000
19480,14021.707,00000000
19490,13816.187,00000000
