Timestamp(ms),Current(uA),D0-D7
582480,1761.664,00000000
582490,1799.002,00000000
582500,2396.547,00000000
582510,2013.962,00000000
582520,2116.448,00000000
582530,1849.014,00000000
582540,1714.645,00000000
582550,1668.113,00000000
582560,1626.262,00000000
582570,1623.155,00000000
582580,1598.077,00000000
582590,1476.332,00000000
582600,2098.272,00000000
582610,1731.439,00000000
582620,1485.767,00000000
582630,1415.627,00000000
582640,1438.993,00000000
582650,1424.675,00000000
582660,1401.896,00000000
582670,1419.748,00000000
582680,1427.483,00000000
582690,1430.276,00000000
582700,1417.613,00000000
582710,1789.193,00000000
582720,1563.424,00000000
582730,1488.073,00000000
582740,1549.344,00000000
582750,1577.018,00000000
582760,1591.333,00000000
582770,1631.264,00000000
582780,1639.788,00000000
582790,1609.537,00000000
582800,1615.225,00000000
582810,1644.125,00000000
582820,2001.178,00000000
582830,1755.008,00000000
582840,1678.002,00000000
582850,1680.293,00000000
582860,1665.552,00000000
582870,1676.413,00000000
582880,1674.500,00000000
582890,1840.672,00000000
582900,1911.760,00000000
582910,1912.439,00000000
582920,2555.359,00000000
582930,2141.845,00000000
582940,1990.745,00000000
582950,1921.248,00000000
582960,1965.242,00000000
582970,2003.606,00000000
582980,1992.720,00000000
582990,1970.851,00000000
583000,1975.646,00000000
583010,2003.526,00000000
583020,2070.702,00000000
583030,2425.627,00000000
583040,2418.218,00000000
583050,2381.851,00000000
583060,2372.156,00000000
583070,2382.743,00000000
583080,2420.958,00000000
583090,2395.122,00000000
583100,2422.150,00000000
583110,2429.316,00000000
583120,2403.476,00000000
583130,3132.922,00000000
583140,2657.698,00000000
583150,2414.858,00000000
583160,2382.385,00000000
583170,2383.420,00000000
583180,2329.730,00000000
583190,2300.753,00000000
583200,2298.068,00000000
583210,2293.612,00000000
583220,2274.384,00000000
583230,3057.718,00000000
583240,2642.371,00000000
583250,2412.892,00000000
583260,2321.611,00000000
583270,2230.512,00000000
583280,2190.730,00000000
583290,2167.461,00000000
583300,2191.002,00000000
583310,2113.926,00000000
583320,2136.399,00000000
583330,2814.443,00000000
583340,2429.458,00000000
583350,2333.923,00000000
583360,2344.661,00000000
583370,2401.711,00000000
583380,2390.033,00000000
583390,2488.554,00000000
583400,2424.527,00000000
583410,2475.300,00000000
583420,2494.089,00000000
583430,2513.073,00000000
583440,3265.918,00000000
583450,2776.837,00000000
583460,2646.697,00000000
583470,2631.259,00000000
583480,2654.772,00000000
583490,2649.377,00000000
583500,2880.990,00000000
583510,2934.016,00000000
583520,3023.550,00000000
583530,3016.380,00000000
583540,3029.411,00000000
583550,3808.918,00000000
583560,3345.628,00000000
583570,3282.182,00000000
583580,3162.564,00000000
583590,3151.631,00000000
583600,3106.940,00000000
583610,3125.318,00000000
583620,3114.332,00000000
583630,3039.574,00000000
583640,3105.254,00000000
583650,3841.057,00000000
583660,3419.543,00000000
583670,3298.281,00000000
583680,3203.971,00000000
583690,3218.028,00000000
583700,3175.488,00000000
583710,3174.455,00000000
583720,3179.168,00000000
583730,3123.461,00000000
583740,3134.056,00000000
583750,3148.477,00000000
583760,3683.051,00000000
583770,3276.172,00000000
583780,3158.644,00000000
583790,3108.659,00000000
583800,3085.669,00000000
583810,3200.128,00000000
583820,3225.240,00000000
583830,3232.897,00000000
583840,3293.052,00000000
583850,3306.216,00000000
583860,3404.628,00000000
583870,3574.146,00000000
583880,3339.051,00000000
583890,3259.324,00000000
583900,3176.893,00000000
583910,3211.092,00000000
583920,3175.878,00000000
583930,3183.821,00000000
583940,3170.066,00000000
583950,3158.563,00000000
583960,3371.058,00000000
583970,3878.481,00000000
583980,3622.127,00000000
583990,3491.691,00000000
584000,3457.832,00000000
584010,3511.715,00000000
584020,3536.664,00000000
584030,3542.838,00000000
584040,3620.638,00000000
584050,3642.573,00000000
584060,3663.460,00000000
584070,3722.289,00000000
584080,3969.069,00000000
584090,3738.572,00000000
584100,3687.871,00000000
584110,3614.458,00000000
584120,3743.512,00000000
584130,3765.239,00000000
584140,3806.462,00000000
584150,3832.625,00000000
584160,3820.116,00000000
584170,3857.827,00000000
584180,4044.923,00000000
584190,3910.032,00000000
584200,3744.408,00000000
584210,3814.586,00000000
584220,3752.434,00000000
584230,3782.239,00000000
584240,3834.111,00000000
584250,3838.373,00000000
584260,3830.949,00000000
584270,3683.908,00000000
584280,3929.594,00000000
584290,4058.062,00000000
584300,3779.082,00000000
584310,3699.491,00000000
584320,3582.464,00000000
584330,3550.714,00000000
584340,3588.103,00000000
584350,3584.921,00000000
584360,3634.519,00000000
584370,3604.449,00000000
584380,3589.074,00000000
584390,4308.116,00000000
584400,3884.993,00000000
584410,3647.859,00000000
584420,3488.244,00000000
584430,3397.510,00000000
584440,3387.884,00000000
584450,3369.662,00000000
584460,3325.810,00000000
584470,3405.162,00000000
584480,3376.264,00000000
584490,3901.231,00000000
584500,3658.460,00000000
584510,3440.366,00000000
584520,3362.642,00000000
584530,3301.040,00000000
584540,3325.289,00000000
584550,3309.760,00000000
584560,3310.590,00000000
584570,3150.771,00000000
584580,3062.949,00000000
584590,3034.109,00000000
584600,3525.293,00000000
584610,3159.537,00000000
584620,3028.735,00000000
584630,2993.803,00000000
584640,2987.993,00000000
584650,2920.290,00000000
584660,2911.805,00000000
584670,2930.222,00000000
584680,2933.858,00000000
584690,2904.105,00000000
584700,3448.647,00000000
584710,3149.405,00000000
584720,2791.251,00000000
584730,2613.608,00000000
584740,2631.606,00000000
584750,2630.811,00000000
584760,2645.722,00000000
584770,2676.633,00000000
584780,2637.542,00000000
584790,2670.241,00000000
584800,2655.060,00000000
584810,3114.529,00000000
584820,2904.951,00000000
584830,2816.902,00000000
584840,2800.809,00000000
584850,2780.325,00000000
584860,2810.176,00000000
584870,2618.919,00000000
584880,2529.906,00000000
584890,2586.630,00000000
584900,2601.118,00000000
584910,2646.297,00000000
584920,3165.698,00000000
584930,2861.977,00000000
584940,2767.819,00000000
584950,2696.943,00000000
584960,2690.776,00000000
584970,2732.604,00000000
584980,2791.095,00000000
584990,2818.715,00000000
585000,2812.906,00000000
585010,2819.678,00000000
585020,2598.871,00000000
585030,2927.610,00000000
585040,2695.040,00000000
585050,2619.324,00000000
585060,2627.276,00000000
585070,2638.791,00000000
585080,2626.056,00000000
585090,2630.490,00000000
585100,2700.322,00000000
585110,2658.799,00000000
585120,2704.785,00000000
585130,3416.642,00000000
585140,2996.037,00000000
585150,2728.627,00000000
585160,2648.464,00000000
585170,2557.015,00000000
585180,2468.879,00000000
585190,2465.193,00000000
585200,2425.438,00000000
585210,2420.030,00000000
585220,2400.402,00000000
585230,3047.752,00000000
585240,2564.402,00000000
585250,2366.442,00000000
585260,2267.496,00000000
585270,2288.077,00000000
585280,2215.807,00000000
585290,2209.450,00000000
585300,2133.503,00000000
585310,2137.527,00000000
585320,2099.370,00000000
585330,2564.941,00000000
585340,2177.777,00000000
585350,2062.515,00000000
585360,1986.987,00000000
585370,1887.442,00000000
585380,1825.598,00000000
585390,1812.504,00000000
585400,1807.787,00000000
585410,1784.802,00000000
585420,1792.889,00000000
585430,1754.415,00000000
585440,2131.979,00000000
585450,1880.388,00000000
585460,1820.605,00000000
585470,1828.190,00000000
585480,1656.802,00000000
585490,1633.783,00000000
585500,1606.974,00000000
585510,1598.396,00000000
585520,1633.316,00000000
585530,1570.897,00000000
585540,1641.204,00000000
585550,2124.365,00000000
585560,1835.005,00000000
585570,1702.932,00000000
585580,1680.069,00000000
585590,1671.375,00000000
585600,1659.880,00000000
585610,1618.897,00000000
585620,1642.934,00000000
585630,1490.107,00000000
585640,1449.467,00000000
585650,1858.054,00000000
585660,1585.916,00000000
585670,1447.556,00000000
585680,1431.294,00000000
585690,1485.358,00000000
585700,1471.476,00000000
585710,1458.056,00000000
585720,1461.434,00000000
585730,1427.887,00000000
585740,1472.716,00000000
585750,1502.704,00000000
585760,1817.115,00000000
585770,1592.739,00000000
585780,1687.973,00000000
585790,1660.873,00000000
585800,1692.274,00000000
585810,1706.898,00000000
585820,1685.710,00000000
585830,1748.263,00000000
585840,1728.611,00000000
585850,1727.302,00000000
585860,1724.918,00000000
585870,2025.770,00000000
585880,1805.846,00000000
585890,1806.150,00000000
585900,1781.613,00000000
585910,1788.188,00000000
585920,1757.215,00000000
585930,1978.427,00000000
585940,2100.784,00000000
585950,2105.728,00000000
585960,2100.927,00000000
585970,2553.508,00000000
585980,2367.997,00000000
585990,2247.814,00000000
586000,2128.173,00000000
586010,2112.128,00000000
586020,2092.917,00000000
586030,2005.052,00000000
586040,2019.670,00000000
586050,2005.749,00000000
586060,1933.416,00000000
586070,1964.300,00000000
586080,2320.174,00000000
586090,2126.158,00000000
586100,2040.795,00000000
586110,1968.074,00000000
586120,1978.040,00000000
586130,1977.457,00000000
586140,1969.658,00000000
586150,1923.948,00000000
586160,1973.966,00000000
586170,1987.532,00000000
586180,2349.158,00000000
586190,2213.135,00000000
586200,2090.888,00000000
586210,2040.734,00000000
586220,2009.728,00000000
586230,1972.618,00000000
586240,2137.760,00000000
586250,2219.264,00000000
586260,2265.891,00000000
586270,2218.126,00000000
586280,2268.071,00000000
586290,2624.226,00000000
586300,2432.964,00000000
586310,2360.815,00000000
586320,2329.900,00000000
586330,2404.044,00000000
586340,2388.606,00000000
586350,2421.147,00000000
586360,2397.263,00000000
586370,2369.331,00000000
586380,2405.408,00000000
586390,3129.840,00000000
586400,2843.520,00000000
586410,2776.208,00000000
586420,2803.629,00000000
586430,2818.326,00000000
586440,2837.297,00000000
586450,2876.941,00000000
586460,2874.631,00000000
586470,2907.618,00000000
586480,2925.966,00000000
