Timestamp(ms),Current(uA),D0-D7
20620,1604.954,00000000
20630,1468.819,00000000
20640,1427.197,00000000
20650,1383.483,00000000
20660,1395.967,00000000
20670,1396.564,00000000
20680,1411.869,00000000
20690,1385.162,00000000
20700,1399.042,00000000
20710,1463.567,00000000
20720,1925.492,00000000
20730,1568.828,00000000
20740,1492.868,00000000
20750,1402.356,00000000
20760,1374.410,00000000
20770,1391.060,00000000
20780,1364.472,00000000
20790,1415.115,00000000
20800,1414.857,00000000
20810,1437.397,00000000
20820,1892.746,00000000
20830,1593.620,00000000
20840,1491.588,00000000
20850,1421.950,00000000
20860,1401.635,00000000
20870,1399.236,00000000
20880,1389.623,00000000
20890,1378.190,00000000
20900,1419.656,00000000
20910,1414.072,00000000
20920,1922.043,00000000
20930,1608.771,00000000
20940,1484.229,00000000
20950,1449.728,00000000
20960,1409.160,00000000
20970,1385.571,00000000
20980,1371.985,00000000
20990,1407.891,00000000
21000,1347.272,00000000
21010,1381.062,00000000
21020,1997.208,00000000
21030,1607.159,00000000
21040,1493.266,00000000
21050,1416.112,00000000
21060,1428.638,00000000
21070,1415.087,00000000
21080,1402.504,00000000
21090,1447.720,00000000
21100,1379.565,00000000
21110,1402.269,00000000
21120,1373.058,00000000
21130,1786.809,00000000
21140,1549.755,00000000
21150,1504.705,00000000
21160,1451.542,00000000
21170,1512.843,00000000
21180,1537.067,00000000
21190,1544.685,00000000
21200,1438.232,00000000
21210,1454.520,00000000
21220,1446.129,00000000
21230,1397.288,00000000
21240,1802.098,00000000
21250,1538.530,00000000
21260,1447.754,00000000
21270,1406.117,00000000
21280,1400.245,00000000
21290,1384.057,00000000
21300,1370.038,00000000
21310,1397.310,00000000
21320,1385.614,00000000
21330,1431.601,00000000
21340,2122.290,00000000
21350,1659.787,00000000
21360,1479.826,00000000
21370,1434.867,00000000
21380,1399.573,00000000
21390,1411.039,00000000
21400,1412.420,00000000
21410,1390.020,00000000
21420,1421.792,00000000
21430,1358.320,00000000
21440,1854.376,00000000
21450,1806.638,00000000
21460,1520.377,00000000
21470,1468.694,00000000
21480,1434.302,00000000
21490,1412.151,00000000
21500,1383.711,00000000
21510,1401.912,00000000
21520,1382.260,00000000
21530,1402.068,00000000
21540,1441.873,00000000
21550,1761.085,00000000
21560,1544.481,00000000
21570,1460.425,00000000
21580,1417.710,00000000
21590,1429.683,00000000
21600,1400.584,00000000
21610,1450.846,00000000
21620,1400.154,00000000
21630,1398.085,00000000
21640,1413.041,00000000
21650,1413.593,00000000
21660,1862.918,00000000
21670,1599.567,00000000
21680,1441.780,00000000
21690,1394.969,00000000
21700,1414.493,00000000
21710,1362.343,00000000
21720,1392.306,00000000
21730,1350.744,00000000
21740,1407.727,00000000
21750,1368.015,00000000
21760,1992.724,00000000
21770,1665.694,00000000
21780,1502.076,00000000
21790,1452.696,00000000
21800,1440.527,00000000
21810,1405.864,00000000
21820,1428.808,00000000
21830,1421.304,00000000
21840,1455.584,00000000
21850,1406.947,00000000
21860,1400.345,00000000
21870,1972.546,00000000
21880,1605.528,00000000
21890,1462.899,00000000
21900,1387.461,00000000
21910,1405.520,00000000
21920,1452.133,00000000
21930,1403.086,00000000
21940,1394.943,00000000
21950,1441.504,00000000
21960,1450.652,00000000
21970,1859.745,00000000
21980,1550.243,00000000
21990,1472.451,00000000
22000,1439.963,00000000
22010,1409.559,00000000
22020,1424.754,00000000
22030,1392.236,00000000
22040,1433.203,00000000
22050,1437.049,00000000
22060,1426.449,00000000
22070,1782.308,00000000
22080,1538.683,00000000
22090,1448.977,00000000
22100,1394.720,00000000
22110,1415.808,00000000
22120,1418.044,00000000
