timestamp,device_name,device_address,rssi,distance_m,condition,trial
2026-04-07 19:43:16.897921,EEG Wearable,E1:1B:6D:10:62:56,-76,0.2,line_of_sight,1
2026-04-07 19:43:17.621648,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:17.623649,EEG Wearable,E1:1B:6D:10:62:56,-76,0.2,line_of_sight,1
2026-04-07 19:43:17.721139,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:17.722142,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:17.929555,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:17.949550,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:18.920376,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:18.925310,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:19.026617,EEG Wearable,E1:1B:6D:10:62:56,-76,0.2,line_of_sight,1
2026-04-07 19:43:19.030612,EEG Wearable,E1:1B:6D:10:62:56,-76,0.2,line_of_sight,1
2026-04-07 19:43:19.837379,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:19.868269,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:19.944268,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:21.627403,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:21.653393,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:22.676642,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:22.681642,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:22.776477,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:22.809602,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:24.566952,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:24.601536,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:24.667655,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:24.702738,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:25.518437,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:25.522197,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:25.612478,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:25.646134,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:26.455219,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:26.487944,EEG Wearable,E1:1B:6D:10:62:56,-75,0.2,line_of_sight,1
2026-04-07 19:43:27.276849,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:27.308852,EEG Wearable,E1:1B:6D:10:62:56,-59,0.2,line_of_sight,1
2026-04-07 19:43:28.133524,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:28.138180,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,1
2026-04-07 19:43:30.010970,EEG Wearable,E1:1B:6D:10:62:56,-73,0.2,line_of_sight,1
2026-04-07 19:45:03.901505,EEG Wearable,E1:1B:6D:10:62:56,-67,0.2,line_of_sight,2
2026-04-07 19:45:04.981336,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,2
2026-04-07 19:45:04.986357,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,2
2026-04-07 19:45:05.077747,EEG Wearable,E1:1B:6D:10:62:56,-60,0.2,line_of_sight,2
2026-04-07 19:45:05.111323,EEG Wearable,E1:1B:6D:10:62:56,-60,0.2,line_of_sight,2
2026-04-07 19:45:05.191677,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:05.227009,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:07.912793,EEG Wearable,E1:1B:6D:10:62:56,-60,0.2,line_of_sight,2
2026-04-07 19:45:07.932335,EEG Wearable,E1:1B:6D:10:62:56,-60,0.2,line_of_sight,2
2026-04-07 19:45:08.774317,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:08.780323,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:08.853076,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,2
2026-04-07 19:45:08.888874,EEG Wearable,E1:1B:6D:10:62:56,-69,0.2,line_of_sight,2
2026-04-07 19:45:09.707013,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:09.733358,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:09.812615,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:09.834487,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:09.936756,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,2
2026-04-07 19:45:09.940631,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,2
2026-04-07 19:45:10.888951,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:10.894876,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:11.014990,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,2
2026-04-07 19:45:11.044697,EEG Wearable,E1:1B:6D:10:62:56,-70,0.2,line_of_sight,2
2026-04-07 19:45:11.959197,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
