condition,distance_m,mean_rssi_dbm,std_across_trials_dbm,n_trials,sem_dbm,ci95_dbm
line_of_sight,0.2,-63.980140774258416,0.265640293130637,3,0.15336749474658437,0.3006002897033054
line_of_sight,0.4,-64.53296930411706,0.13744769868516915,3,0.07935546583537699,0.1555367130373389
line_of_sight,0.6,-62.048666136015534,0.22864132628605444,3,0.13200613127912658,0.2587320173070881
line_of_sight,0.8,-62.76637653127015,0.5044357667092194,3,0.2912361256984431,0.5708228063689484
line_of_sight,1.0,-69.7410322615802,1.6802492713758903,3,0.9700923691345429,1.901381043503704
line_of_sight,1.2,-70.04278460758711,0.884454113796296,3,0.5106398206861634,1.0008540485448802
line_of_sight,1.4,-70.17081846029214,0.8770461962589607,3,0.5063628575018484,0.9924712007036228
line_of_sight,1.6,-79.26511954992968,0.7542590812446404,3,0.43547168359531296,0.8535244998468134
line_of_sight,1.8,-75.60033070890033,1.054014031735339,3,0.6085352849520408,1.192729158506
line_of_sight,2.0,-82.08140095039592,1.5201959734571633,3,0.8776855544964784,1.7202636868130978
line_of_sight,3.0,-73.75249877576758,1.01615879775724,3,0.586679555424549,1.1498919286321159
line_of_sight,5.0,-79.04245908889872,2.271608919752746,3,1.311514021312803,2.5705674817730935
line_of_sight,7.0,-75.2634824870119,1.836827831806891,3,1.0604930431487052,2.0785663645714623
near_body,0.2,-68.97753202862967,4.796915256365227,5,2.1452457191076957,4.204681609451083
near_body,0.4,-67.84441731108399,0.6209097169689156,3,0.35848239223445777,0.7026254887795372
near_body,0.6,-65.45111203396088,0.3135675122205113,3,0.1810382875896335,0.35483504367568164
near_body,0.8,-74.36627053990611,4.2169033410901555,4,2.1084516705450778,4.1325652742683525
near_body,1.0,-72.58363395863397,2.85131168987352,3,1.6462055716920037,3.226562920516327
near_body,1.2,-70.51473013184668,4.231048477086021,3,2.4427969771999702,4.787882075311941
near_body,1.4,-69.49064667601901,1.0954361789764302,3,0.632450372812097,1.2396027307117101
near_body,1.6,-79.64046772917472,1.9743870620539772,3,1.139912901761378,2.234229287452301
near_body,1.8,-71.62148101384213,0.883837529514685,3,0.5102838355851972,1.0001563177469865
near_body,2.0,-70.90720408308437,1.6042212570441632,3,0.9261975745941675,1.8153472462045683
near_body,3.0,-63.87334060738316,0.5896073327655122,3,0.34040995228834575,0.6672035064851577
near_body,5.0,-79.19881085098477,1.0602196203986194,3,0.6121180832372658,1.199751443145041
near_body,7.0,-74.52432046761943,0.1580037412046245,3,0.09122350251745792,0.17879806493421752
