time_s,eeg_amplitude_uv,eeg_blink,cv_ear,cv_blink,bird_y,game_state,score
0.0025,0.0,0,1.0,0,285.0,waiting,0
0.0186,0.0,0,1.0,0,277.87,waiting,0
0.0347,0.0,0,1.0,0,278.39,waiting,0
0.0507,0.0,0,1.0,0,278.9,waiting,0
0.0668,0.0,0,1.0,0,279.46,waiting,0
0.0823,0.0,0,1.0,0,280.04,waiting,0
0.0989,0.0,0,1.0,0,280.62,waiting,0
0.1155,0.0,0,1.0,0,281.26,waiting,0
0.1318,0.0,0,1.0,0,281.88,waiting,0
0.1482,0.0,0,1.0,0,282.54,waiting,0
0.1647,0.0,0,1.0,0,283.17,waiting,0
0.1804,0.0,0,1.0,0,283.8,waiting,0
0.1964,0.0,0,1.0,0,284.44,waiting,0
0.2125,0.0,0,1.0,0,285.08,waiting,0
0.2291,0.0,0,1.0,0,285.72,waiting,0
0.2457,0.0,0,1.0,0,286.4,waiting,0
0.2613,0.0,0,1.0,0,287.03,waiting,0
0.2778,0.0,0,1.0,0,287.66,waiting,0
0.2938,0.0,0,1.0,0,288.28,waiting,0
0.3095,0.0,0,1.0,0,288.93,waiting,0
0.325,0.0,0,1.0,0,289.49,waiting,0
0.3416,0.0,0,1.0,0,290.08,waiting,0
0.3571,0.0,0,1.0,0,290.65,waiting,0
0.3741,0.0,0,1.0,0,291.21,waiting,0
0.3902,0.0,0,1.0,0,291.78,waiting,0
0.4078,0.0,0,1.0,0,292.3,waiting,0
0.4234,0.0,0,1.0,0,292.82,waiting,0
0.4439,0.0,0,1.0,0,293.3,waiting,0
0.4734,0.0,0,1.0,0,293.88,waiting,0
0.4909,0.0,0,1.0,0,294.64,waiting,0
0.508,0.0,0,1.0,0,295.03,waiting,0
0.525,0.0,0,1.0,0,295.39,waiting,0
0.5421,0.0,0,1.0,0,295.71,waiting,0
0.5591,0.0,0,1.0,0,296.0,waiting,0
0.5757,0.0,0,1.0,0,296.26,waiting,0
0.5917,0.0,0,1.0,0,296.46,waiting,0
0.6072,0.0,0,0.28994,0,296.63,waiting,0
0.6233,0.0,0,0.29325,0,296.77,waiting,0
0.6393,0.0,0,0.29325,0,296.88,waiting,0
0.6561,0.0,0,0.29294,0,296.95,waiting,0
0.6737,0.0,0,0.29294,0,296.99,waiting,0
0.6908,0.0,0,0.29147,0,296.99,waiting,0
0.7063,0.0,0,0.3005,0,296.96,waiting,0
0.7223,0.0,0,0.3005,0,296.89,waiting,0
0.7389,0.0,0,0.29797,0,296.79,waiting,0
0.7554,0.0,0,0.28945,0,296.64,waiting,0
0.7711,0.0,0,0.28945,0,296.47,waiting,0
0.7881,0.0,0,0.33917,0,296.26,waiting,0
0.8047,0.0,0,0.33917,0,296.01,waiting,0
0.8206,0.0,0,0.33917,0,295.74,waiting,0
0.8361,0.0,0,0.28109,0,295.44,waiting,0
0.8527,0.0,0,0.28109,0,295.11,waiting,0
0.8686,0.0,0,0.27735,0,294.75,waiting,0
0.8842,0.0,0,0.27735,0,294.36,waiting,0
0.9013,0.0,0,0.278,0,293.95,waiting,0
0.9173,0.0,0,0.278,0,293.48,waiting,0
0.9339,0.0,0,0.29932,0,293.02,waiting,0
0.951,0.0,0,0.29932,0,292.5,waiting,0
0.9678,0.0,0,0.27709,0,291.95,waiting,0
0.9839,0.0,0,0.27709,0,291.39,waiting,0
1.0004,0.0,0,0.29255,0,290.84,waiting,0
1.0165,0.0,0,0.29255,0,290.27,waiting,0
1.0325,0.0,0,0.31281,0,289.69,waiting,0
1.0486,0.0,0,0.31281,0,289.09,waiting,0
1.0651,0.0,0,0.30093,0,288.49,waiting,0
1.0811,0.0,0,0.30093,0,287.83,waiting,0
1.0975,0.0,0,0.28959,0,287.2,waiting,0
1.1136,0.0,0,0.28959,0,286.57,waiting,0
1.1298,0.0,0,0.30801,0,285.9,waiting,0
1.1467,0.0,0,0.30801,0,285.26,waiting,0
1.1627,0.0,0,0.28543,0,284.62,waiting,0
1.1785,0.0,0,0.28543,0,283.98,waiting,0
1.195,0.0,0,0.28543,0,283.34,waiting,0
1.2119,0.0,0,0.29632,0,282.67,waiting,0
1.2286,0.0,0,0.29632,0,282.01,waiting,0
1.2449,0.0,0,0.31811,0,281.39,waiting,0
1.262,0.0,0,0.31811,0,280.75,waiting,0
1.2782,0.0,0,0.33848,0,280.12,waiting,0
1.2944,0.0,0,0.33848,0,279.55,waiting,0
1.3105,0.0,0,0.32836,0,278.98,waiting,0
1.3265,0.0,0,0.32836,0,278.44,waiting,0
1.343,0.0,0,0.29925,0,277.91,waiting,0
1.3601,0.0,0,0.29925,0,277.37,waiting,0
1.3762,0.0,0,0.33201,0,276.86,waiting,0
1.3932,0.0,0,0.33201,0,276.4,waiting,0
1.4097,0.0,0,0.33201,0,275.94,waiting,0
1.425,0.0,0,0.33748,0,275.54,waiting,0
1.4423,0.0,0,0.33748,0,275.16,waiting,0
1.4589,0.0,0,0.30979,0,274.78,waiting,0
1.4759,0.0,0,0.31597,0,274.44,waiting,0
1.4931,0.0,0,0.31597,0,274.14,waiting,0
1.5092,0.0,0,0.31143,0,273.87,waiting,0
1.5258,0.0,0,0.31143,0,273.64,waiting,0
1.5433,0.0,0,0.31143,0,273.44,waiting,0
1.559,0.0,0,0.3259,0,273.28,waiting,0
1.5752,0.0,0,0.3259,0,273.16,waiting,0
1.5919,0.0,0,0.3259,0,273.07,waiting,0
1.6091,0.0,0,0.30327,0,273.02,waiting,0
1.6261,0.0,0,0.30327,0,273.0,waiting,0
1.6426,0.0,0,0.33426,0,273.02,waiting,0
1.6587,0.0,0,0.29588,0,273.08,waiting,0
1.6744,0.0,0,0.29588,0,273.17,waiting,0
1.6905,0.0,0,0.29588,0,273.29,waiting,0
1.7065,0.0,0,0.31293,0,273.45,waiting,0
1.7226,0.0,0,0.31293,0,273.64,waiting,0
1.7386,0.0,0,0.33908,0,273.86,waiting,0
1.7546,0.0,0,0.33908,0,274.11,waiting,0
1.7704,0.0,0,0.30608,0,274.4,waiting,0
1.7864,0.0,0,0.30608,0,274.71,waiting,0
1.8033,0.0,0,0.29882,0,275.06,waiting,0
1.8204,0.0,0,0.29882,0,275.45,waiting,0
1.8363,0.0,0,0.29882,0,275.88,waiting,0
1.8528,0.0,0,0.29882,0,276.31,waiting,0
1.8698,0.0,0,0.31141,0,276.79,waiting,0
1.8862,0.0,0,0.31141,0,277.3,waiting,0
1.9026,0.0,0,0.3088,0,277.8,waiting,0
1.9183,0.0,0,0.3088,0,278.33,waiting,0
1.9346,0.0,0,0.32408,0,278.87,waiting,0
1.95,0.0,0,0.32408,0,279.43,waiting,0
1.9669,0.0,0,0.32408,0,280.0,waiting,0
1.9836,0.0,0,0.30051,0,280.63,waiting,0
2.0003,0.0,0,0.30051,0,281.23,waiting,0
2.0169,2381.7887,1,0.30051,0,281.88,waiting,0
2.0334,2381.7887,0,0.30051,0,282.54,playing,0
2.0498,1676.3124,0,0.31607,0,276.58,playing,0
2.0664,1676.3124,0,0.31607,0,270.57,playing,0
2.0838,1072.9289,0,0.31607,0,265.19,playing,0
2.1009,1072.9289,0,0.30689,0,259.5,playing,0
2.1171,573.1015,0,0.30689,0,254.72,playing,0
2.1335,573.1015,0,0.33137,0,249.96,playing,0
2.1499,573.1015,0,0.33137,0,245.76,playing,0
2.1667,-126.8212,0,0.32926,0,241.62,playing,0
2.1828,-126.8212,0,0.32926,0,238.0,playing,0
2.1992,-126.8212,0,0.31459,0,234.66,playing,0
2.2159,-345.7713,0,0.31459,0,231.44,playing,0
2.2323,-492.0341,0,0.31459,0,228.53,playing,0
2.2489,-492.0341,0,0.32595,0,226.07,playing,0
2.2657,-492.0341,0,0.32595,0,223.78,playing,0
2.2819,-580.7804,0,0.33936,0,221.91,playing,0
2.2988,-580.7804,0,0.33936,0,220.23,playing,0
2.3149,-624.4766,0,0.32141,0,218.94,playing,0
2.3323,-634.853,0,0.32141,0,217.88,playing,0
2.3485,-634.853,0,0.32141,0,217.14,playing,0
2.364,-621.1873,0,0.2973,0,216.73,playing,0
2.3803,-621.1873,0,0.2973,0,216.59,playing,0
2.3969,-589.9696,0,0.31636,0,216.74,playing,0
2.4133,-589.9696,0,0.31636,0,217.22,playing,0
2.4299,-549.2266,0,0.31636,0,217.95,playing,0
2.4465,-549.2266,0,0.30494,0,219.04,playing,0
2.4628,-522.4402,0,0.30494,0,220.35,playing,0
2.4794,-522.4402,0,0.32406,0,222.06,playing,0
2.4958,-465.704,1,0.32406,0,223.95,playing,0
2.5127,-465.704,0,0.27729,0,217.64,playing,0
2.5302,-394.759,0,0.27729,0,211.65,playing,0
2.5468,-394.759,0,0.27729,0,205.97,playing,0
2.5638,-320.4338,0,0.23046,0,200.61,playing,0
2.5797,-320.4338,0,0.23046,0,195.85,playing,0
2.5953,-262.1297,0,0.1814,0,191.37,playing,0
2.6118,-262.1297,0,0.1814,0,187.17,playing,0
2.6278,-212.3987,0,0.23411,1,183.26,playing,0
2.6438,-212.3987,0,0.23411,0,179.62,playing,0
2.6595,-168.1941,0,0.23411,0,176.27,playing,0
2.6759,-168.1941,0,0.26666,0,173.19,playing,0
2.6923,-168.1941,0,0.26666,0,170.25,playing,0
2.7089,-129.3859,0,0.28887,0,167.76,playing,0
2.7257,-95.4945,0,0.28887,0,165.43,playing,0
2.7423,-95.4945,0,0.33941,0,163.52,playing,0
2.7587,-95.4945,0,0.33941,0,161.81,playing,0
2.7753,-66.6682,0,0.33941,0,160.48,playing,0
2.7921,-43.0882,0,0.32828,0,159.38,playing,0
2.809,-43.0882,0,0.32828,0,158.6,playing,0
2.8253,-24.0705,0,0.31845,0,158.15,playing,0
2.8416,-8.3958,0,0.31845,0,157.99,playing,0
2.8575,-8.3958,0,0.34905,0,158.13,playing,0
2.8739,3.1817,0,0.34905,0,158.54,playing,0
2.8913,3.1817,0,0.34905,0,159.3,playing,0
2.9085,11.7951,0,0.35924,0,160.37,playing,0
2.9246,11.7951,0,0.35924,0,161.76,playing,0
2.942,11.7951,0,0.37599,0,163.47,playing,0
2.959,17.6937,0,0.37599,0,165.5,playing,0
2.9762,17.6937,0,0.37599,0,167.85,playing,0
2.993,21.4725,0,0.3062,0,170.51,playing,0
3.0093,24.1226,1,0.3062,0,173.49,playing,0
3.0259,24.1226,0,0.35407,0,167.53,playing,0
3.0426,24.1226,0,0.35407,0,161.52,playing,0
3.0588,25.2642,0,0.34139,0,156.14,playing,0
3.0753,25.2642,0,0.34139,0,150.75,playing,0
3.0914,25.2642,0,0.35378,0,145.95,playing,0
3.1078,25.0688,0,0.35378,0,141.44,playing,0
3.124,25.0688,0,0.35378,0,137.2,playing,0
3.1403,25.0688,0,0.30827,0,133.02,playing,0
3.1572,25.0688,0,0.30827,0,129.37,playing,0
3.1741,25.0688,0,0.34516,0,125.81,playing,0
3.191,-1.7522,0,0.34516,0,122.56,playing,0
3.2099,-1.7522,0,0.34516,0,119.63,playing,0
3.2263,-1.7522,0,0.3235,0,116.76,playing,0
3.2425,-5.9634,0,0.3235,0,114.62,playing,0
3.2581,-5.9634,0,0.27623,0,112.76,playing,0
3.2745,-5.9634,0,0.27623,0,111.19,playing,0
3.2901,-0.4931,0,0.22658,0,109.89,playing,0
3.307,-0.4931,0,0.22658,0,108.88,playing,0
3.3235,24.5305,0,0.25884,0,108.12,playing,0
3.3399,24.5305,0,0.25884,0,107.69,playing,0
3.3572,24.5305,0,0.25884,0,107.55,playing,0
3.3734,24.5305,0,0.26257,0,107.72,playing,0
