time_s,eeg_amplitude_uv,eeg_blink,cv_ear,cv_blink,bird_y,game_state,score
0.0014,0.0,0,1.0,0,285.0,waiting,0
0.0174,0.0,0,1.0,0,294.95,waiting,0
0.0345,0.0,0,1.0,0,294.58,waiting,0
0.0511,0.0,0,1.0,0,294.16,waiting,0
0.067,0.0,0,1.0,0,293.73,waiting,0
0.0835,0.0,0,1.0,0,293.28,waiting,0
0.0997,0.0,0,1.0,0,292.77,waiting,0
0.1163,0.0,0,1.0,0,292.28,waiting,0
0.1329,0.0,0,1.0,0,291.72,waiting,0
0.1484,0.0,0,1.0,0,291.18,waiting,0
0.165,0.0,0,1.0,0,290.63,waiting,0
0.1808,0.0,0,1.0,0,290.05,waiting,0
0.1973,0.0,0,1.0,0,289.47,waiting,0
0.2143,0.0,0,1.0,0,288.83,waiting,0
0.2313,0.0,0,1.0,0,288.18,waiting,0
0.2479,0.0,0,1.0,0,287.52,waiting,0
0.2634,0.0,0,1.0,0,286.89,waiting,0
0.2804,0.0,0,1.0,0,286.26,waiting,0
0.2969,0.0,0,1.0,0,285.58,waiting,0
0.3133,0.0,0,1.0,0,284.94,waiting,0
0.33,0.0,0,1.0,0,284.26,waiting,0
0.3457,0.0,0,1.0,0,283.62,waiting,0
0.3623,0.0,0,1.0,0,282.99,waiting,0
0.3788,0.0,0,1.0,0,282.32,waiting,0
0.3954,0.0,0,1.0,0,281.7,waiting,0
0.4117,0.0,0,1.0,0,281.05,waiting,0
0.4282,0.0,0,1.0,0,280.45,waiting,0
0.4436,0.0,0,1.0,0,279.83,waiting,0
0.4603,0.0,0,1.0,0,279.3,waiting,0
0.4767,0.0,0,1.0,0,278.71,waiting,0
0.4932,0.0,0,1.0,0,278.17,waiting,0
0.51,0.0,0,1.0,0,277.62,waiting,0
0.5255,0.0,0,1.0,0,277.13,waiting,0
0.5424,0.0,0,1.0,0,276.66,waiting,0
0.5589,0.0,0,1.0,0,276.18,waiting,0
0.5745,0.0,0,1.0,0,275.76,waiting,0
0.591,0.0,0,1.0,0,275.37,waiting,0
0.6066,0.0,0,1.0,0,275.0,waiting,0
0.6231,0.0,0,1.0,0,274.66,waiting,0
0.639,0.0,0,1.0,0,274.35,waiting,0
0.6547,0.0,0,1.0,0,274.07,waiting,0
0.6705,0.0,0,1.0,0,273.82,waiting,0
0.687,0.0,0,0.33633,0,273.61,waiting,0
0.703,0.0,0,0.33633,0,273.42,waiting,0
0.7191,0.0,0,0.33657,0,273.27,waiting,0
0.7351,0.0,0,0.33657,0,273.15,waiting,0
0.7512,0.0,0,0.31628,0,273.06,waiting,0
0.7683,0.0,0,0.27923,0,273.01,waiting,0
0.7851,0.0,0,0.27923,0,273.0,waiting,0
0.8007,0.0,0,0.28325,0,273.02,waiting,0
0.8177,0.0,0,0.31281,0,273.08,waiting,0
0.8342,0.0,0,0.31281,0,273.18,waiting,0
0.8508,0.0,0,0.29039,0,273.31,waiting,0
0.8668,0.0,0,0.29039,0,273.47,waiting,0
0.8828,0.0,0,0.30917,0,273.66,waiting,0
0.8984,0.0,0,0.30917,0,273.89,waiting,0
0.9154,0.0,0,0.30917,0,274.15,waiting,0
0.9325,0.0,0,0.30248,0,274.46,waiting,0
0.9492,0.0,0,0.30248,0,274.8,waiting,0
0.9652,0.0,0,0.29823,0,275.17,waiting,0
0.9823,0.0,0,0.29823,0,275.55,waiting,0
0.9998,0.0,0,0.31239,0,275.99,waiting,0
1.0158,0.0,0,0.31239,0,276.45,waiting,0
1.0324,0.0,0,0.31153,0,276.91,waiting,0
1.0494,0.0,0,0.31153,0,277.43,waiting,0
1.0657,0.0,0,0.32241,0,277.97,waiting,0
1.0819,0.0,0,0.32241,0,278.49,waiting,0
1.0974,0.0,0,0.31121,0,279.04,waiting,0
1.1144,0.0,0,0.31121,0,279.6,waiting,0
1.131,0.0,0,0.33096,0,280.22,waiting,0
1.1471,0.0,0,0.33096,0,280.81,waiting,0
1.1633,0.0,0,0.31435,0,281.46,waiting,0
1.1803,0.0,0,0.31435,0,282.07,waiting,0
1.1969,0.0,0,0.30166,0,282.74,waiting,0
1.2129,0.0,0,0.30166,0,283.37,waiting,0
1.2286,0.0,0,0.33699,0,284.0,waiting,0
1.2447,0.0,0,0.30915,0,284.64,waiting,0
1.2606,0.0,0,0.30915,0,285.28,waiting,0
1.2768,0.0,0,0.30915,0,285.92,waiting,0
1.2931,0.0,0,0.30915,0,286.56,waiting,0
1.3095,0.0,0,0.34394,0,287.23,waiting,0
1.3262,0.0,0,0.34394,0,287.86,waiting,0
1.3417,0.0,0,0.33056,0,288.51,waiting,0
1.3577,0.0,0,0.31242,0,289.08,waiting,0
