time_s,eeg_amplitude_uv,eeg_blink,cv_ear,cv_blink,bird_y,game_state,score
0.002,0.0,0,1.0,0,285.0,waiting,0
0.0175,0.0,0,1.0,0,290.09,waiting,0
0.0331,0.0,0,1.0,0,289.54,waiting,0
0.0496,0.0,0,1.0,0,288.94,waiting,0
0.0661,0.0,0,1.0,0,288.33,waiting,0
0.0822,0.0,0,1.0,0,287.67,waiting,0
0.0983,0.0,0,1.0,0,287.05,waiting,0
0.1142,0.0,0,1.0,0,286.41,waiting,0
0.1309,0.0,0,1.0,0,285.78,waiting,0
0.148,0.0,0,1.0,0,285.1,waiting,0
0.1645,0.0,0,1.0,0,284.42,waiting,0
0.1801,0.0,0,1.0,0,283.78,waiting,0
0.1961,0.0,0,1.0,0,283.14,waiting,0
0.2122,0.0,0,1.0,0,282.52,waiting,0
0.2286,0.0,0,1.0,0,281.89,waiting,0
0.2447,0.0,0,1.0,0,281.28,waiting,0
0.2602,0.0,0,1.0,0,280.68,waiting,0
0.2768,0.0,0,1.0,0,280.09,waiting,0
0.2924,0.0,0,1.0,0,279.47,waiting,0
0.3086,0.0,0,1.0,0,278.95,waiting,0
0.3252,0.0,0,1.0,0,278.4,waiting,0
0.3412,0.0,0,1.0,0,277.85,waiting,0
0.3578,0.0,0,1.0,0,277.34,waiting,0
0.3738,0.0,0,1.0,0,276.86,waiting,0
0.3903,0.0,0,1.0,0,276.38,waiting,0
0.4068,0.0,0,1.0,0,275.94,waiting,0
0.4224,0.0,0,1.0,0,275.51,waiting,0
0.439,0.0,0,1.0,0,275.16,waiting,0
0.4555,0.0,0,1.0,0,274.78,waiting,0
0.4721,0.0,0,1.0,0,274.46,waiting,0
0.4887,0.0,0,1.0,0,274.15,waiting,0
0.5053,0.0,0,1.0,0,273.88,waiting,0
0.5213,0.0,0,1.0,0,273.66,waiting,0
0.5378,0.0,0,1.0,0,273.46,waiting,0
0.5539,0.0,0,1.0,0,273.3,waiting,0
0.5703,0.0,0,1.0,0,273.17,waiting,0
0.5868,0.0,0,1.0,0,273.08,waiting,0
0.6034,0.0,0,1.0,0,273.02,waiting,0
0.6197,0.0,0,1.0,0,273.0,waiting,0
0.6443,0.0,0,1.0,0,273.01,waiting,0
0.6614,0.0,0,1.0,0,273.1,waiting,0
0.6793,0.0,0,1.0,0,273.21,waiting,0
0.7031,0.0,0,1.0,0,273.37,waiting,0
0.72,0.0,0,1.0,0,273.65,waiting,0
0.7361,0.0,0,1.0,0,273.88,waiting,0
0.7532,0.0,0,1.0,0,274.13,waiting,0
0.7698,0.0,0,1.0,0,274.44,waiting,0
0.7859,0.0,0,1.0,0,274.78,waiting,0
0.8024,0.0,0,1.0,0,275.13,waiting,0
0.8191,0.0,0,0.32874,0,275.5,waiting,0
0.8361,0.0,0,0.32874,0,275.93,waiting,0
0.8521,0.0,0,0.3135,0,276.39,waiting,0
0.8687,0.0,0,0.3135,0,276.85,waiting,0
0.8847,0.0,0,0.30586,0,277.33,waiting,0
0.9003,0.0,0,0.30586,0,277.84,waiting,0
0.9163,0.0,0,0.31786,0,278.36,waiting,0
0.9328,0.0,0,0.31786,0,278.9,waiting,0
0.9489,0.0,0,0.31602,0,279.5,waiting,0
0.9656,0.0,0,0.31602,0,280.07,waiting,0
0.9826,0.0,0,0.31008,0,280.7,waiting,0
0.9987,0.0,0,0.31008,0,281.3,waiting,0
1.0157,0.0,0,0.30848,0,281.96,waiting,0
1.0314,0.0,0,0.31782,0,282.62,waiting,0
1.0469,0.0,0,0.31782,0,283.21,waiting,0
1.064,0.0,0,0.29769,0,283.85,waiting,0
1.0808,0.0,0,0.29769,0,284.52,waiting,0
1.0963,0.0,0,0.29307,0,285.2,waiting,0
1.1129,0.0,0,0.29307,0,285.8,waiting,0
1.1296,0.0,0,0.30997,0,286.48,waiting,0
1.1451,0.0,0,0.30997,0,287.11,waiting,0
1.1619,0.0,0,0.32029,0,287.74,waiting,0
1.1784,0.0,0,0.32029,0,288.4,waiting,0
1.1949,0.0,0,0.34401,0,289.01,waiting,0
1.2115,0.0,0,0.34401,0,289.64,waiting,0
1.2276,0.0,0,0.31654,0,290.22,waiting,0
1.2434,0.0,0,0.31654,0,290.79,waiting,0
1.2597,0.0,0,0.33652,0,291.34,waiting,0
1.2755,0.0,0,0.33652,0,291.88,waiting,0
1.2916,0.0,0,0.30536,0,292.39,waiting,0
1.3071,0.0,0,0.30536,0,292.89,waiting,0
1.3241,0.0,0,0.33199,0,293.36,waiting,0
1.3407,0.0,0,0.33199,0,293.83,waiting,0
1.3564,0.0,0,0.32922,0,294.28,waiting,0
1.3739,0.0,0,0.32922,0,294.65,waiting,0
1.391,0.0,0,0.32165,0,295.06,waiting,0
1.4077,0.0,0,0.32165,0,295.41,waiting,0
1.4238,0.0,0,0.31958,0,295.71,waiting,0
1.4394,0.0,0,0.31958,0,296.0,waiting,0
1.4554,0.0,0,0.31792,0,296.23,waiting,0
1.472,0.0,0,0.31792,0,296.44,waiting,0
1.4886,0.0,0,0.31312,0,296.63,waiting,0
1.5051,0.0,0,0.31312,0,296.77,waiting,0
1.5215,0.0,0,0.34921,0,296.88,waiting,0
1.5377,0.0,0,0.34921,0,296.95,waiting,0
1.5538,0.0,0,0.323,0,296.99,waiting,0
1.5703,0.0,0,0.323,0,297.0,waiting,0
1.5862,0.0,0,0.32306,0,296.97,waiting,0
1.6026,0.0,0,0.32306,0,296.9,waiting,0
1.6193,0.0,0,0.32306,0,296.8,waiting,0
1.6369,0.0,0,0.33678,0,296.65,waiting,0
1.6534,0.0,0,0.32454,0,296.47,waiting,0
1.6697,0.0,0,0.32454,0,296.26,waiting,0
1.6855,0.0,0,0.32957,0,296.02,waiting,0
1.702,0.0,0,0.32957,0,295.76,waiting,0
1.7191,0.0,0,0.2942,0,295.44,waiting,0
1.7353,0.0,0,0.2942,0,295.08,waiting,0
1.7518,0.0,0,0.2942,0,294.72,waiting,0
1.7684,0.0,0,0.31303,0,294.31,waiting,0
1.785,0.0,0,0.31303,0,293.89,waiting,0
1.8017,0.0,0,0.31303,0,293.42,waiting,0
1.8173,0.0,0,0.31303,0,292.92,waiting,0
1.8338,0.0,0,0.32118,0,292.46,waiting,0
1.8494,0.0,0,0.32118,0,291.92,waiting,0
1.866,0.0,0,0.31526,0,291.42,waiting,0
1.8825,0.0,0,0.31526,0,290.84,waiting,0
1.8991,0.0,0,0.30552,0,290.27,waiting,0
1.9155,0.0,0,0.30552,0,289.65,waiting,0
1.932,0.0,0,0.31738,0,289.05,waiting,0
1.9489,0.0,0,0.31738,0,288.41,waiting,0
1.966,0.0,0,0.2936,0,287.75,waiting,0
1.9827,0.0,0,0.2936,0,287.08,waiting,0
1.9988,0.0,0,0.31591,0,286.45,waiting,0
2.0144,0.0,0,0.31591,0,285.78,waiting,0
2.0304,0.0,0,0.30069,0,285.18,waiting,0
2.047,0.0,0,0.30069,0,284.54,waiting,0
2.0636,0.0,0,0.3087,0,283.86,waiting,0
2.0792,0.0,0,0.3087,0,283.22,waiting,0
2.0958,0.0,0,0.34436,0,282.59,waiting,0
2.1124,0.0,0,0.34436,0,281.93,waiting,0
2.1289,0.0,0,0.32835,0,281.32,waiting,0
