time_s,eeg_amplitude_uv,eeg_blink,cv_ear,cv_blink,bird_y,game_state,score
0.0031,0.0,0,1.0,0,285.0,waiting,0
0.0184,0.0,0,1.0,0,296.69,waiting,0
0.0347,0.0,0,1.0,0,296.53,waiting,0
0.0517,0.0,0,1.0,0,296.34,waiting,0
0.0678,0.0,0,1.0,0,296.1,waiting,0
0.0843,0.0,0,1.0,0,295.84,waiting,0
0.1003,0.0,0,1.0,0,295.53,waiting,0
0.1161,0.0,0,1.0,0,295.23,waiting,0
0.1318,0.0,0,1.0,0,294.89,waiting,0
0.1483,0.0,0,1.0,0,294.51,waiting,0
0.1652,0.0,0,1.0,0,294.08,waiting,0
0.1809,0.0,0,1.0,0,293.65,waiting,0
0.197,0.0,0,1.0,0,293.19,waiting,0
0.2133,0.0,0,1.0,0,292.71,waiting,0
0.2294,0.0,0,1.0,0,292.18,waiting,0
0.2461,0.0,0,1.0,0,291.66,waiting,0
0.2658,0.0,0,1.0,0,291.12,waiting,0
0.2835,0.0,0,1.0,0,290.38,waiting,0
0.3008,0.0,0,1.0,0,289.76,waiting,0
0.3285,0.0,0,1.0,0,289.13,waiting,0
0.345,0.0,0,1.0,0,288.06,waiting,0
0.3611,0.0,0,1.0,0,287.44,waiting,0
0.3767,0.0,0,1.0,0,286.81,waiting,0
0.3938,0.0,0,1.0,0,286.18,waiting,0
0.4106,0.0,0,1.0,0,285.5,waiting,0
0.4272,0.0,0,1.0,0,284.82,waiting,0
0.4432,0.0,0,1.0,0,284.18,waiting,0
0.4588,0.0,0,1.0,0,283.54,waiting,0
0.4754,0.0,0,1.0,0,282.91,waiting,0
0.4925,0.0,0,1.0,0,282.24,waiting,0
0.5091,0.0,0,1.0,0,281.59,waiting,0
0.5257,0.0,0,1.0,0,280.98,waiting,0
0.5421,0.0,0,1.0,0,280.34,waiting,0
0.558,0.0,0,1.0,0,279.76,waiting,0
0.5741,0.0,0,1.0,0,279.19,waiting,0
0.5897,0.0,0,1.0,0,278.64,waiting,0
0.6062,0.0,0,1.0,0,278.11,waiting,0
0.6224,0.0,0,1.0,0,277.56,waiting,0
0.6394,0.0,0,1.0,0,277.07,waiting,0
0.6558,0.0,0,1.0,0,276.57,waiting,0
0.6721,0.0,0,1.0,0,276.13,waiting,0
0.6881,0.0,0,1.0,0,275.71,waiting,0
0.7037,0.0,0,1.0,0,275.32,waiting,0
0.7203,0.0,0,1.0,0,274.96,waiting,0
0.7364,0.0,0,1.0,0,274.6,waiting,0
0.7532,0.0,0,0.31422,0,274.3,waiting,0
0.7688,0.0,0,0.33141,0,274.02,waiting,0
0.7844,0.0,0,0.33141,0,273.78,waiting,0
0.8014,0.0,0,0.31487,0,273.57,waiting,0
0.8185,0.0,0,0.31487,0,273.38,waiting,0
0.8349,0.0,0,0.30847,0,273.23,waiting,0
0.8516,0.0,0,,0,273.12,waiting,0
