time_s,eeg_amplitude_uv,eeg_blink,eeg_railed,cv_ear,cv_blink,bird_y,game_state,score
0.0056,0.0,0,0,1.0,0,285.0,waiting,0
0.0233,0.0,0,0,1.0,0,294.82,waiting,0
0.0399,0.0,0,0,1.0,0,294.36,waiting,0
0.0561,0.0,0,0,1.0,0,293.95,waiting,0
0.072,0.0,0,0,1.0,0,293.51,waiting,0
0.0882,0.0,0,0,1.0,0,293.07,waiting,0
0.1042,0.0,0,0,1.0,0,292.56,waiting,0
0.1203,0.0,0,0,1.0,0,292.05,waiting,0
0.1368,0.0,0,0,1.0,0,291.52,waiting,0
0.1524,0.0,0,0,1.0,0,290.98,waiting,0
0.1691,0.0,0,0,1.0,0,290.41,waiting,0
0.1855,0.0,0,0,1.0,0,289.8,waiting,0
0.2021,0.0,0,0,1.0,0,289.21,waiting,0
0.2178,0.0,0,0,1.0,0,288.56,waiting,0
0.2339,0.0,0,0,1.0,0,287.99,waiting,0
0.2507,0.0,0,0,1.0,0,287.36,waiting,0
0.2672,0.0,0,0,1.0,0,286.69,waiting,0
0.2839,0.0,0,0,1.0,0,286.02,waiting,0
0.3006,0.0,0,0,1.0,0,285.38,waiting,0
0.3167,0.0,0,0,1.0,0,284.7,waiting,0
0.3333,0.0,0,0,1.0,0,284.06,waiting,0
0.3497,0.0,0,0,1.0,0,283.38,waiting,0
0.3654,0.0,0,0,1.0,0,282.75,waiting,0
0.3821,0.0,0,0,1.0,0,282.13,waiting,0
0.3977,0.0,0,0,1.0,0,281.51,waiting,0
0.4139,0.0,0,0,1.0,0,280.9,waiting,0
0.4306,0.0,0,0,1.0,0,280.31,waiting,0
0.4467,0.0,0,0,1.0,0,279.69,waiting,0
0.4633,0.0,0,0,1.0,0,279.12,waiting,0
0.4801,0.0,0,0,1.0,0,278.54,waiting,0
0.4957,0.0,0,0,1.0,0,277.98,waiting,0
0.5124,0.0,0,0,1.0,0,277.5,waiting,0
0.5286,0.0,0,0,1.0,0,276.98,waiting,0
0.5446,0.0,0,0,1.0,0,276.52,waiting,0
0.5612,0.0,0,0,1.0,0,276.08,waiting,0
0.5768,0.0,0,0,1.0,0,275.64,waiting,0
0.5929,0.0,0,0,1.0,0,275.27,waiting,0
0.609,0.0,0,0,1.0,0,274.91,waiting,0
