time_s,eeg_amplitude_uv,eeg_blink,eeg_railed,cv_ear,cv_blink,bird_y,game_state,score
0.0021,0.0,0,0,1.0,0,285.0,waiting,0
0.0181,0.0,0,0,1.0,0,295.61,waiting,0
0.034,0.0,0,0,1.0,0,295.3,waiting,0
0.0497,0.0,0,0,1.0,0,294.98,waiting,0
0.0662,0.0,0,0,1.0,0,294.61,waiting,0
0.0832,0.0,0,0,1.0,0,294.18,waiting,0
0.1004,0.0,0,0,1.0,0,293.73,waiting,0
0.1169,0.0,0,0,1.0,0,293.25,waiting,0
0.1327,0.0,0,0,1.0,0,292.77,waiting,0
0.1483,0.0,0,0,1.0,0,292.28,waiting,0
0.1648,0.0,0,0,1.0,0,291.76,waiting,0
0.1804,0.0,0,0,1.0,0,291.22,waiting,0
0.197,0.0,0,0,1.0,0,290.66,waiting,0
0.2128,0.0,0,0,1.0,0,290.09,waiting,0
0.2286,0.0,0,0,1.0,0,289.5,waiting,0
0.2453,0.0,0,0,1.0,0,288.9,waiting,0
0.2619,0.0,0,0,1.0,0,288.26,waiting,0
0.2776,0.0,0,0,1.0,0,287.64,waiting,0
0.2933,0.0,0,0,1.0,0,287.01,waiting,0
0.31,0.0,0,0,1.0,0,286.37,waiting,0
0.3281,0.0,0,0,1.0,0,285.74,waiting,0
0.3446,0.0,0,0,1.0,0,284.98,waiting,0
0.3616,0.0,0,0,1.0,0,284.34,waiting,0
0.3881,0.0,0,0,1.0,0,283.66,waiting,0
0.4047,0.0,0,0,1.0,0,282.59,waiting,0
0.4207,0.0,0,0,1.0,0,281.97,waiting,0
0.4374,0.0,0,0,1.0,0,281.36,waiting,0
0.4538,0.0,0,0,1.0,0,280.71,waiting,0
0.4702,0.0,0,0,1.0,0,280.12,waiting,0
0.4873,0.0,0,0,1.0,0,279.51,waiting,0
0.5038,0.0,0,0,1.0,0,278.91,waiting,0
0.5195,0.0,0,0,1.0,0,278.37,waiting,0
0.5361,0.0,0,0,1.0,0,277.85,waiting,0
0.5519,0.0,0,0,1.0,0,277.34,waiting,0
0.568,0.0,0,0,1.0,0,276.86,waiting,0
0.5838,0.0,0,0,1.0,0,276.4,waiting,0
0.5994,0.0,0,0,1.0,0,275.97,waiting,0
0.6158,0.0,0,0,1.0,0,275.56,waiting,0
0.6322,0.0,0,0,1.0,0,275.18,waiting,0
0.649,0.0,0,0,1.0,0,274.8,waiting,0
0.6649,0.0,0,0,1.0,0,274.48,waiting,0
0.6809,0.0,0,0,1.0,0,274.19,waiting,0
0.697,0.0,0,0,1.0,0,273.93,waiting,0
0.7129,0.0,0,0,0.35471,0,273.7,waiting,0
0.729,0.0,0,0,0.32693,0,273.5,waiting,0
0.7447,0.0,0,0,0.32693,0,273.33,waiting,0
0.7609,0.0,0,0,0.3288,0,273.2,waiting,0
0.7767,0.0,0,0,0.32881,0,273.1,waiting,0
0.7928,0.0,0,0,0.32881,0,273.03,waiting,0
0.8085,0.0,0,0,0.31768,0,273.0,waiting,0
0.8256,0.0,0,0,0.31768,0,273.01,waiting,0
0.8424,0.0,0,0,0.29312,0,273.05,waiting,0
0.8594,0.0,0,0,0.29312,0,273.12,waiting,0
0.8765,0.0,0,0,0.28773,0,273.24,waiting,0
0.8926,0.0,0,0,0.28773,0,273.4,waiting,0
