wall_time,trial,event,freq_hz
1776010903.6871605,1,standard,1000
1776010904.8909416,2,standard,1000
1776010906.0988147,3,deviant,2000
1776010907.2976763,4,standard,1000
1776010908.5002744,5,standard,1000
1776010909.6897695,6,standard,1000
1776010910.8912573,7,standard,1000
1776010912.0933027,8,standard,1000
1776010913.2926226,9,standard,1000
1776010914.4920502,10,standard,1000
1776010915.6939402,11,standard,1000
1776010916.8958557,12,deviant,2000
1776010918.0996857,13,standard,1000
1776010919.289618,14,standard,1000
1776010920.4954085,15,standard,1000
1776010921.7010252,16,standard,1000
1776010922.901431,17,standard,1000
1776010924.092466,18,deviant,2000
1776010925.2872765,19,standard,1000
1776010926.5016756,20,standard,1000
1776010927.689825,21,deviant,2000
1776010928.892762,22,standard,1000
1776010930.0969546,23,standard,1000
1776010931.2973099,24,deviant,2000
1776010932.4953547,25,standard,1000
1776010933.6880145,26,standard,1000
1776010934.890533,27,deviant,2000
1776010936.0928063,28,standard,1000
1776010937.2945457,29,standard,1000
1776010938.4984283,30,deviant,2000
1776010939.696011,31,standard,1000
1776010940.9006977,32,standard,1000
1776010942.0895715,33,standard,1000
1776010943.2950175,34,standard,1000
1776010944.4989443,35,standard,1000
1776010945.697987,36,deviant,2000
1776010946.898694,37,standard,1000
1776010948.099721,38,standard,1000
1776010949.2902863,39,deviant,2000
1776010950.4928415,40,standard,1000
1776010951.696095,41,standard,1000
1776010952.8960147,42,standard,1000
1776010954.096032,43,standard,1000
1776010955.2970736,44,standard,1000
1776010956.4956918,45,deviant,2000
1776010957.6951706,46,standard,1000
1776010958.89785,47,standard,1000
1776010960.0990825,48,deviant,2000
1776010961.301565,49,standard,1000
1776010962.4877756,50,standard,1000
1776010963.6887589,51,standard,1000
1776010964.8895006,52,standard,1000
1776010966.0900626,53,standard,1000
1776010967.2915647,54,standard,1000
1776010968.5014951,55,standard,1000
1776010969.7027767,56,standard,1000
1776010970.887213,57,deviant,2000
1776010972.0875275,58,standard,1000
1776010973.288203,59,standard,1000
1776010974.4878483,60,standard,1000
1776010975.702736,61,standard,1000
1776010976.8882656,62,standard,1000
1776010978.0900636,63,deviant,2000
1776010979.2918203,64,standard,1000
1776010980.4949975,65,standard,1000
1776010981.6976683,66,deviant,2000
1776010982.8983448,67,standard,1000
1776010984.1002333,68,standard,1000
1776010985.2995043,69,standard,1000
1776010986.5001526,70,standard,1000
1776010987.6983087,71,standard,1000
1776010988.8911912,72,deviant,2000
1776010990.0953646,73,standard,1000
1776010991.3012745,74,standard,1000
1776010992.488596,75,deviant,2000
1776010993.6914542,76,standard,1000
1776010994.8943508,77,standard,1000
1776010996.0990098,78,deviant,2000
1776010997.3009157,79,standard,1000
1776010998.502773,80,standard,1000
1776010999.693109,81,standard,1000
1776011000.8930793,82,standard,1000
1776011002.0975592,83,standard,1000
1776011003.2976992,84,standard,1000
1776011004.4881546,85,standard,1000
1776011005.6871638,86,standard,1000
1776011006.891358,87,deviant,2000
1776011008.0950227,88,standard,1000
1776011009.3018203,89,standard,1000
1776011010.4882615,90,standard,1000
1776011011.6896706,91,standard,1000
1776011012.8913248,92,standard,1000
1776011014.0916529,93,standard,1000
1776011015.2922149,94,standard,1000
1776011016.493175,95,standard,1000
1776011017.6973996,96,standard,1000
1776011018.9002752,97,standard,1000
1776011020.0883524,98,standard,1000
1776011021.293035,99,standard,1000
1776011022.4976778,100,standard,1000
1776011023.6896126,101,standard,1000
1776011024.9022744,102,deviant,2000
1776011026.0949194,103,standard,1000
1776011027.2985532,104,standard,1000
1776011028.4924707,105,deviant,2000
1776011029.6912918,106,standard,1000
1776011030.8955271,107,standard,1000
1776011032.096127,108,deviant,2000
1776011033.2927208,109,standard,1000
1776011034.4894247,110,standard,1000
1776011035.7014527,111,deviant,2000
1776011036.8920565,112,standard,1000
1776011038.0942192,113,standard,1000
1776011039.294178,114,standard,1000
1776011040.4932432,115,standard,1000
1776011041.6969771,116,standard,1000
1776011042.8893821,117,standard,1000
1776011044.0953782,118,standard,1000
1776011045.2967305,119,standard,1000
1776011046.4940658,120,deviant,2000
1776011047.698374,121,standard,1000
1776011048.9017675,122,standard,1000
1776011050.0895402,123,deviant,2000
1776011051.2904506,124,standard,1000
1776011052.4914315,125,standard,1000
1776011053.6949282,126,standard,1000
1776011054.9017243,127,standard,1000
1776011056.0888758,128,standard,1000
1776011057.2898793,129,deviant,2000
1776011058.5024188,130,standard,1000
1776011059.6886659,131,standard,1000
1776011060.8936532,132,deviant,2000
1776011062.1017642,133,standard,1000
1776011063.2924178,134,standard,1000
1776011064.4992473,135,standard,1000
1776011065.6982234,136,standard,1000
1776011066.9019794,137,standard,1000
1776011068.1018517,138,deviant,2000
1776011069.2878003,139,standard,1000
1776011070.4919071,140,standard,1000
1776011071.6946375,141,deviant,2000
1776011072.901671,142,standard,1000
1776011074.1029289,143,standard,1000
1776011075.2898526,144,deviant,2000
1776011076.501035,145,standard,1000
1776011077.6964786,146,standard,1000
1776011078.899808,147,standard,1000
1776011080.0871677,148,standard,1000
1776011081.287769,149,standard,1000
1776011082.490647,150,deviant,2000
1776011082.6484768,151,END,
