wall_time,trial,event,freq_hz
1776011648.1550558,1,standard,1000
1776011649.3559568,2,standard,1000
1776011650.5552063,3,standard,1000
1776011651.754319,4,standard,1000
1776011652.9559731,5,standard,1000
1776011654.1554155,6,deviant,2000
1776011655.354509,7,standard,1000
1776011656.5550969,8,standard,1000
1776011657.7560523,9,deviant,2000
1776011658.9554381,10,standard,1000
1776011660.1546035,11,standard,1000
1776011661.355278,12,standard,1000
1776011662.5552778,13,standard,1000
1776011663.754618,14,standard,1000
1776011664.9549458,15,deviant,2000
1776011666.1550207,16,standard,1000
1776011667.355116,17,standard,1000
1776011668.555779,18,deviant,2000
1776011669.754952,19,standard,1000
1776011670.9550867,20,standard,1000
1776011672.1552143,21,deviant,2000
1776011673.3556275,22,standard,1000
1776011674.5546553,23,standard,1000
1776011675.7549458,24,deviant,2000
1776011676.9555852,25,standard,1000
1776011678.155206,26,standard,1000
1776011679.3542147,27,deviant,2000
1776011680.556042,28,standard,1000
1776011681.7556558,29,standard,1000
1776011682.95505,30,standard,1000
1776011684.1553934,31,standard,1000
1776011685.3547037,32,standard,1000
1776011686.5557067,33,standard,1000
1776011687.7556548,34,standard,1000
1776011688.9554148,35,standard,1000
1776011690.1553946,36,deviant,2000
1776011691.3553488,37,standard,1000
1776011692.554875,38,standard,1000
1776011693.7550757,39,deviant,2000
1776011694.9559412,40,standard,1000
1776011696.1554892,41,standard,1000
1776011697.355186,42,standard,1000
1776011698.554551,43,standard,1000
1776011699.7553508,44,standard,1000
1776011700.9551427,45,standard,1000
1776011702.155401,46,standard,1000
1776011703.3551593,47,standard,1000
1776011704.556129,48,deviant,2000
1776011705.7557683,49,standard,1000
1776011706.9555044,50,standard,1000
1776011708.1545763,51,deviant,2000
1776011709.3552153,52,standard,1000
1776011710.555704,53,standard,1000
1776011711.7553248,54,standard,1000
1776011712.9552956,55,standard,1000
1776011714.1549947,56,standard,1000
1776011715.355503,57,deviant,2000
1776011716.5550625,58,standard,1000
1776011717.7555938,59,standard,1000
1776011718.9548423,60,deviant,2000
1776011720.1549115,61,standard,1000
1776011721.3552096,62,standard,1000
1776011722.5547755,63,deviant,2000
1776011723.7556155,64,standard,1000
1776011724.955012,65,standard,1000
1776011726.1551108,66,standard,1000
1776011727.3560176,67,standard,1000
1776011728.555499,68,standard,1000
1776011729.754802,69,standard,1000
1776011730.9551132,70,standard,1000
1776011732.1551144,71,standard,1000
1776011733.3555763,72,deviant,2000
1776011734.55527,73,standard,1000
1776011735.754899,74,standard,1000
1776011736.9554627,75,deviant,2000
1776011738.1552558,76,standard,1000
1776011739.3557813,77,standard,1000
1776011740.5551205,78,deviant,2000
1776011741.7551389,79,standard,1000
1776011742.955658,80,standard,1000
1776011744.1547797,81,standard,1000
1776011745.3556175,82,standard,1000
1776011746.555261,83,standard,1000
1776011747.754321,84,deviant,2000
1776011748.9549806,85,standard,1000
1776011750.1556375,86,standard,1000
1776011751.3547506,87,deviant,2000
1776011752.5549006,88,standard,1000
1776011753.755878,89,standard,1000
1776011754.9551592,90,standard,1000
1776011756.155677,91,standard,1000
1776011757.3547087,92,standard,1000
1776011758.5551665,93,deviant,2000
1776011759.7552984,94,standard,1000
1776011760.9545643,95,standard,1000
1776011762.1549327,96,deviant,2000
1776011763.3550684,97,standard,1000
1776011764.5552576,98,standard,1000
1776011765.7552512,99,standard,1000
1776011766.9556682,100,standard,1000
1776011768.1555538,101,standard,1000
1776011769.354827,102,deviant,2000
1776011770.5553806,103,standard,1000
1776011771.7553353,104,standard,1000
1776011772.955139,105,standard,1000
1776011774.155166,106,standard,1000
1776011775.354614,107,standard,1000
1776011776.555312,108,deviant,2000
1776011777.754359,109,standard,1000
1776011778.9550922,110,standard,1000
1776011780.155283,111,standard,1000
1776011781.3543315,112,standard,1000
1776011782.5560896,113,standard,1000
1776011783.755872,114,deviant,2000
1776011784.9549592,115,standard,1000
1776011786.1558867,116,standard,1000
1776011787.355336,117,standard,1000
1776011788.5545554,118,standard,1000
1776011789.7548006,119,standard,1000
1776011790.9557118,120,standard,1000
1776011792.1551528,121,standard,1000
1776011793.3552792,122,standard,1000
1776011794.5548453,123,deviant,2000
1776011795.7548876,124,standard,1000
1776011796.9556377,125,standard,1000
1776011798.1549103,126,deviant,2000
1776011799.3549101,127,standard,1000
1776011800.5550487,128,standard,1000
1776011801.7556598,129,standard,1000
1776011802.955652,130,standard,1000
1776011804.1550655,131,standard,1000
1776011805.355933,132,deviant,2000
1776011806.5555341,133,standard,1000
1776011807.7551417,134,standard,1000
1776011808.9556568,135,deviant,2000
1776011810.1547682,136,standard,1000
1776011811.3550422,137,standard,1000
1776011812.5560105,138,standard,1000
1776011813.7553346,139,standard,1000
1776011814.9549253,140,standard,1000
1776011816.155824,141,deviant,2000
1776011817.3549597,142,standard,1000
1776011818.5556405,143,standard,1000
1776011819.7552097,144,deviant,2000
1776011820.9555767,145,standard,1000
1776011822.1551802,146,standard,1000
1776011823.3558533,147,deviant,2000
1776011824.5551276,148,standard,1000
1776011825.7560835,149,standard,1000
1776011826.9557571,150,deviant,2000
1776011828.1557496,151,standard,1000
1776011829.3554168,152,standard,1000
1776011830.5553083,153,standard,1000
1776011831.754922,154,standard,1000
1776011832.9555635,155,standard,1000
1776011834.1545825,156,deviant,2000
1776011835.354941,157,standard,1000
1776011836.5550811,158,standard,1000
1776011837.7551029,159,deviant,2000
1776011838.9553258,160,standard,1000
1776011840.154538,161,standard,1000
1776011841.3554804,162,standard,1000
1776011842.55531,163,standard,1000
1776011843.7546945,164,standard,1000
1776011844.9551835,165,deviant,2000
1776011846.1542802,166,standard,1000
1776011847.3549576,167,standard,1000
1776011848.5550046,168,deviant,2000
1776011849.755833,169,standard,1000
1776011850.9555554,170,standard,1000
1776011852.1548555,171,deviant,2000
1776011853.355549,172,standard,1000
1776011854.5551462,173,standard,1000
1776011855.7541897,174,standard,1000
1776011856.955453,175,standard,1000
1776011858.1552978,176,standard,1000
1776011859.3545322,177,deviant,2000
1776011860.554712,178,standard,1000
1776011861.754912,179,standard,1000
1776011862.955164,180,deviant,2000
1776011864.1544175,181,standard,1000
1776011865.3547275,182,standard,1000
1776011866.5554903,183,deviant,2000
1776011867.7552238,184,standard,1000
1776011868.9551575,185,standard,1000
1776011870.1555033,186,deviant,2000
1776011871.35473,187,standard,1000
1776011872.555534,188,standard,1000
1776011873.7550573,189,standard,1000
1776011874.9556096,190,standard,1000
1776011876.1550002,191,standard,1000
1776011877.3558307,192,standard,1000
1776011878.5548892,193,standard,1000
1776011879.755439,194,standard,1000
1776011880.9551044,195,standard,1000
1776011882.1554165,196,standard,1000
1776011883.3552454,197,standard,1000
1776011884.5550048,198,deviant,2000
1776011885.7550414,199,standard,1000
1776011886.9557252,200,standard,1000
1776011888.1552446,201,deviant,2000
1776011889.3551342,202,standard,1000
1776011890.5556827,203,standard,1000
1776011891.7558389,204,deviant,2000
1776011892.955071,205,standard,1000
1776011894.1550913,206,standard,1000
1776011895.3558443,207,standard,1000
1776011896.5556498,208,standard,1000
1776011897.7552524,209,standard,1000
1776011898.9548194,210,deviant,2000
1776011900.1551735,211,standard,1000
1776011901.3551908,212,standard,1000
1776011902.5557022,213,deviant,2000
1776011903.7552853,214,standard,1000
1776011904.9558432,215,standard,1000
1776011906.1556242,216,deviant,2000
1776011907.3556902,217,standard,1000
1776011908.5550756,218,standard,1000
1776011909.7551563,219,standard,1000
1776011910.9556847,220,standard,1000
1776011912.155154,221,standard,1000
1776011913.3559868,222,standard,1000
1776011914.5550034,223,standard,1000
1776011915.7556577,224,standard,1000
1776011916.955639,225,standard,1000
1776011918.154762,226,standard,1000
1776011919.354913,227,standard,1000
1776011920.554917,228,standard,1000
1776011921.7551093,229,standard,1000
1776011922.955171,230,standard,1000
1776011924.1559772,231,deviant,2000
1776011925.355342,232,standard,1000
1776011926.5551481,233,standard,1000
1776011927.7553172,234,standard,1000
1776011928.9554667,235,standard,1000
1776011930.1549635,236,standard,1000
1776011931.355805,237,standard,1000
1776011932.5558407,238,standard,1000
1776011933.7557042,239,standard,1000
1776011934.955176,240,deviant,2000
1776011936.1559722,241,standard,1000
1776011937.355886,242,standard,1000
1776011938.5554078,243,deviant,2000
1776011939.7550414,244,standard,1000
1776011940.9558144,245,standard,1000
1776011942.1548247,246,deviant,2000
1776011943.3560593,247,standard,1000
1776011944.5553722,248,standard,1000
1776011945.7551963,249,deviant,2000
1776011946.9551291,250,standard,1000
1776011948.155388,251,standard,1000
1776011949.355264,252,deviant,2000
1776011950.5554945,253,standard,1000
1776011951.7550275,254,standard,1000
1776011952.95588,255,standard,1000
1776011954.1554213,256,standard,1000
1776011955.355208,257,standard,1000
1776011956.5554614,258,deviant,2000
1776011957.754989,259,standard,1000
1776011958.9555743,260,standard,1000
1776011960.1553204,261,deviant,2000
1776011961.3561964,262,standard,1000
1776011962.5555623,263,standard,1000
1776011963.7551968,264,deviant,2000
1776011964.955021,265,standard,1000
1776011966.1551201,266,standard,1000
1776011967.3556213,267,deviant,2000
1776011968.5547228,268,standard,1000
1776011969.754801,269,standard,1000
1776011970.955516,270,standard,1000
1776011972.155137,271,standard,1000
1776011973.3550622,272,standard,1000
1776011974.5557418,273,deviant,2000
1776011975.7551365,274,standard,1000
1776011976.9557147,275,standard,1000
1776011978.1547165,276,deviant,2000
1776011979.3556998,277,standard,1000
1776011980.5551078,278,standard,1000
1776011981.756061,279,deviant,2000
1776011982.9554584,280,standard,1000
1776011984.1545103,281,standard,1000
1776011985.3548741,282,deviant,2000
1776011986.555409,283,standard,1000
1776011987.7549741,284,standard,1000
1776011988.9556737,285,standard,1000
1776011990.1556177,286,standard,1000
1776011991.3548992,287,standard,1000
1776011992.5550945,288,deviant,2000
1776011993.7551165,289,standard,1000
1776011994.9558766,290,standard,1000
