wall_time,run,freq_hz,event,note
1775692865.2219157,1,6,REST_START,
1775692868.2376487,1,6,FLICKER_START,
1775692880.2504334,1,6,FLICKER_END,frames=723 actual_hz=30.09
1775692880.2504334,1,10,REST_START,
1775692883.2588344,1,10,FLICKER_START,
1775692895.2688808,1,10,FLICKER_END,frames=722 actual_hz=30.06
1775692895.2688808,1,15,REST_START,
1775692898.2689178,1,15,FLICKER_START,
1775692910.2779415,1,15,FLICKER_END,frames=721 actual_hz=30.02
1775692910.2779415,1,12,REST_START,
1775692913.2886198,1,12,FLICKER_START,
1775692923.3074841,1,12,FLICKER_END,frames=601 actual_hz=29.99
