wall_time,trial,event,freq_hz
1776012639.3436494,1,standard,1000
1776012640.5431042,2,standard,1000
1776012641.7431443,3,deviant,2000
1776012642.9439147,4,standard,1000
1776012644.143816,5,standard,1000
1776012645.3430948,6,deviant,2000
1776012646.5435991,7,standard,1000
1776012647.7426114,8,standard,1000
1776012648.9429617,9,deviant,2000
1776012650.1446667,10,standard,1000
1776012651.3429961,11,standard,1000
1776012652.5436044,12,standard,1000
1776012653.7428987,13,standard,1000
1776012654.9432755,14,standard,1000
1776012656.1443717,15,deviant,2000
1776012657.3428617,16,standard,1000
1776012658.5430114,17,standard,1000
1776012659.743344,18,deviant,2000
1776012660.943961,19,standard,1000
1776012662.1431246,20,standard,1000
1776012663.3431306,21,standard,1000
1776012664.5440426,22,standard,1000
1776012665.744051,23,standard,1000
1776012666.9432144,24,standard,1000
1776012668.143865,25,standard,1000
1776012669.3429608,26,standard,1000
1776012670.543339,27,standard,1000
1776012671.7424028,28,standard,1000
1776012672.9436662,29,standard,1000
1776012674.1432996,30,standard,1000
1776012675.3442278,31,standard,1000
1776012676.543294,32,standard,1000
1776012677.7440412,33,deviant,2000
1776012678.9434834,34,standard,1000
1776012680.1428754,35,standard,1000
1776012681.3428829,36,deviant,2000
1776012682.5430558,37,standard,1000
1776012683.744526,38,standard,1000
1776012684.9430766,39,standard,1000
1776012686.1432066,40,standard,1000
1776012687.3439696,41,standard,1000
1776012688.5435724,42,deviant,2000
1776012689.742884,43,standard,1000
1776012690.9434206,44,standard,1000
1776012692.1431475,45,deviant,2000
1776012693.3433938,46,standard,1000
1776012694.5437415,47,standard,1000
1776012695.74325,48,deviant,2000
1776012696.943694,49,standard,1000
1776012698.1428056,50,standard,1000
1776012699.343702,51,standard,1000
1776012700.5432546,52,standard,1000
1776012701.7438667,53,standard,1000
1776012702.9430687,54,standard,1000
1776012704.1440265,55,standard,1000
1776012705.3432057,56,standard,1000
1776012706.5441065,57,standard,1000
1776012707.743801,58,standard,1000
1776012708.9436655,59,standard,1000
1776012710.142884,60,standard,1000
1776012711.3438656,61,standard,1000
1776012712.5432837,62,standard,1000
1776012713.7433536,63,deviant,2000
1776012714.9428306,64,standard,1000
1776012716.143175,65,standard,1000
1776012717.3431776,66,standard,1000
1776012718.543385,67,standard,1000
1776012719.744101,68,standard,1000
1776012720.9444072,69,deviant,2000
1776012722.1430807,70,standard,1000
1776012723.3438432,71,standard,1000
1776012724.5428677,72,deviant,2000
1776012725.743039,73,standard,1000
1776012726.943173,74,standard,1000
1776012728.144016,75,standard,1000
1776012729.3432457,76,standard,1000
1776012730.5426764,77,standard,1000
1776012731.74278,78,deviant,2000
1776012732.9447072,79,standard,1000
1776012734.1428106,80,standard,1000
1776012735.343147,81,deviant,2000
1776012736.543175,82,standard,1000
1776012737.7438407,83,standard,1000
1776012738.9432566,84,deviant,2000
1776012740.1440716,85,standard,1000
1776012741.3430934,86,standard,1000
1776012742.5441093,87,deviant,2000
1776012743.7431443,88,standard,1000
1776012744.94408,89,standard,1000
1776012746.1435394,90,deviant,2000
1776012747.3430731,91,standard,1000
1776012748.543417,92,standard,1000
1776012749.7426643,93,deviant,2000
1776012750.942674,94,standard,1000
1776012752.1428902,95,standard,1000
1776012753.3429046,96,deviant,2000
1776012754.5431945,97,standard,1000
1776012755.7439864,98,standard,1000
1776012756.943255,99,deviant,2000
1776012758.144295,100,standard,1000
1776012759.343416,101,standard,1000
1776012760.5444,102,standard,1000
1776012761.7442713,103,standard,1000
1776012762.944501,104,standard,1000
1776012764.1430454,105,standard,1000
1776012765.3435285,106,standard,1000
1776012766.5440814,107,standard,1000
1776012767.7431674,108,deviant,2000
1776012768.9432642,109,standard,1000
1776012770.1435342,110,standard,1000
1776012771.3435948,111,standard,1000
1776012772.5431826,112,standard,1000
1776012773.7444866,113,standard,1000
1776012774.943022,114,deviant,2000
1776012776.1432204,115,standard,1000
1776012777.3441653,116,standard,1000
1776012778.5439868,117,standard,1000
1776012779.7431245,118,standard,1000
1776012780.943405,119,standard,1000
1776012782.1438136,120,deviant,2000
1776012783.3437104,121,standard,1000
1776012784.5429254,122,standard,1000
1776012785.7439172,123,deviant,2000
1776012786.9429383,124,standard,1000
1776012788.1429636,125,standard,1000
1776012789.3433018,126,standard,1000
1776012790.543565,127,standard,1000
1776012791.7430906,128,standard,1000
1776012792.9435563,129,deviant,2000
1776012794.1428978,130,standard,1000
1776012795.343816,131,standard,1000
1776012796.5431354,132,deviant,2000
1776012797.7438354,133,standard,1000
1776012798.9429493,134,standard,1000
1776012800.1435087,135,standard,1000
1776012801.3427584,136,standard,1000
1776012802.543962,137,standard,1000
1776012803.7429802,138,standard,1000
1776012804.9434476,139,standard,1000
1776012806.1439633,140,standard,1000
1776012807.3439617,141,deviant,2000
1776012808.5430393,142,standard,1000
1776012809.743561,143,standard,1000
1776012810.9427855,144,deviant,2000
1776012812.1428437,145,standard,1000
1776012813.342979,146,standard,1000
1776012814.5433996,147,standard,1000
1776012815.7439926,148,standard,1000
1776012816.9438815,149,standard,1000
1776012818.1431365,150,deviant,2000
1776012819.3443012,151,standard,1000
1776012820.5434263,152,standard,1000
1776012821.7424626,153,deviant,2000
1776012822.944008,154,standard,1000
1776012824.1431944,155,standard,1000
1776012825.3438184,156,deviant,2000
1776012826.5432658,157,standard,1000
1776012827.7436314,158,standard,1000
1776012828.943048,159,standard,1000
1776012830.143773,160,standard,1000
1776012831.3428466,161,standard,1000
1776012832.5434403,162,standard,1000
1776012833.7428632,163,standard,1000
1776012834.9430318,164,standard,1000
1776012836.1442764,165,deviant,2000
1776012837.3438787,166,standard,1000
1776012838.5434017,167,standard,1000
1776012839.7428186,168,standard,1000
1776012840.943607,169,standard,1000
1776012842.1428368,170,standard,1000
1776012843.3443635,171,deviant,2000
1776012844.5438964,172,standard,1000
1776012845.743321,173,standard,1000
1776012846.9441555,174,standard,1000
1776012848.1441462,175,standard,1000
1776012849.344139,176,standard,1000
1776012850.543264,177,deviant,2000
1776012851.7434888,178,standard,1000
1776012852.9427426,179,standard,1000
1776012854.143766,180,standard,1000
1776012855.3429203,181,standard,1000
1776012856.5438488,182,standard,1000
1776012857.743077,183,deviant,2000
1776012858.944031,184,standard,1000
1776012860.1434896,185,standard,1000
1776012861.3428092,186,deviant,2000
1776012862.5437906,187,standard,1000
1776012863.7430317,188,standard,1000
1776012864.9433577,189,deviant,2000
1776012866.1441026,190,standard,1000
1776012867.3432937,191,standard,1000
1776012868.5441225,192,deviant,2000
1776012869.7438533,193,standard,1000
1776012870.943725,194,standard,1000
1776012872.1428194,195,standard,1000
1776012873.3432827,196,standard,1000
1776012874.543715,197,standard,1000
1776012875.743722,198,deviant,2000
1776012876.9428582,199,standard,1000
1776012878.1430821,200,standard,1000
1776012879.3435402,201,standard,1000
1776012880.5428636,202,standard,1000
1776012881.7431836,203,standard,1000
1776012882.9437792,204,standard,1000
1776012884.1430342,205,standard,1000
1776012885.34304,206,standard,1000
1776012886.544005,207,deviant,2000
1776012887.7439818,208,standard,1000
1776012888.9438226,209,standard,1000
1776012890.1444004,210,deviant,2000
1776012891.3429945,211,standard,1000
1776012892.5433571,212,standard,1000
1776012893.742865,213,deviant,2000
1776012894.9435656,214,standard,1000
1776012896.142789,215,standard,1000
1776012897.343097,216,standard,1000
1776012898.5431473,217,standard,1000
1776012899.743878,218,standard,1000
1776012900.9429271,219,standard,1000
1776012902.1430626,220,standard,1000
1776012903.343617,221,standard,1000
1776012904.542704,222,deviant,2000
1776012905.7431078,223,standard,1000
