wall_time,run,freq_hz,event,note
1775671675.3106868,1,15,REST_START,
1775671678.3158917,1,15,FLICKER_START,
1775671690.317871,1,15,FLICKER_END,frames=719 actual_hz=29.95
1775671690.3182175,1,6,REST_START,
1775671693.3206382,1,6,FLICKER_START,
1775671705.323222,1,6,FLICKER_END,frames=719 actual_hz=29.95
1775671705.323222,1,10,REST_START,
1775671708.3359156,1,10,FLICKER_START,
1775671720.344413,1,10,FLICKER_END,frames=721 actual_hz=30.02
1775671720.344413,1,12,REST_START,
1775671723.3474622,1,12,FLICKER_START,
1775671735.360088,1,12,FLICKER_END,frames=721 actual_hz=30.01
1775671735.360088,2,10,REST_START,
