wall_time,run,freq_hz,event,note
1775979029.9868107,1,6,REST_START,
1775979032.9881516,1,6,FLICKER_START,
1775979035.0038302,1,6,ANALYSIS_START,warmup=2.0s
1775979048.0037816,1,6,FLICKER_END,frames=901 actual_hz=30.00
1775979048.0037816,1,12,REST_START,
1775979051.005062,1,12,FLICKER_START,
1775979053.0179923,1,12,ANALYSIS_START,warmup=2.0s
1775979066.008608,1,12,FLICKER_END,frames=900 actual_hz=29.99
1775979066.008608,1,10,REST_START,
1775979069.0118496,1,10,FLICKER_START,
1775979071.025052,1,10,ANALYSIS_START,warmup=2.0s
1775979084.0246732,1,10,FLICKER_END,frames=902 actual_hz=30.04
1775979084.0246732,1,15,REST_START,
1775979087.0347407,1,15,FLICKER_START,
1775979089.04063,1,15,ANALYSIS_START,warmup=2.0s
1775979102.0498471,1,15,FLICKER_END,frames=900 actual_hz=29.97
1775979102.0498471,2,6,REST_START,
1775979105.0519652,2,6,FLICKER_START,
1775979107.058002,2,6,ANALYSIS_START,warmup=2.0s
1775979120.0608494,2,6,FLICKER_END,frames=899 actual_hz=29.95
1775979120.0608494,2,15,REST_START,
1775979123.0618734,2,15,FLICKER_START,
1775979125.0682445,2,15,ANALYSIS_START,warmup=2.0s
1775979138.0762975,2,15,FLICKER_END,frames=899 actual_hz=29.94
1775979138.0762975,2,12,REST_START,
1775979141.0805433,2,12,FLICKER_START,
1775979143.083798,2,12,ANALYSIS_START,warmup=2.0s
1775979156.0856247,2,12,FLICKER_END,frames=900 actual_hz=29.99
1775979156.0861366,2,10,REST_START,
1775979159.0948162,2,10,FLICKER_START,
1775979161.0976508,2,10,ANALYSIS_START,warmup=2.0s
1775979174.0959158,2,10,FLICKER_END,frames=899 actual_hz=29.96
1775979174.0959158,3,6,REST_START,
1775979177.1023948,3,6,FLICKER_START,
1775979179.1059158,3,6,ANALYSIS_START,warmup=2.0s
1775979192.1159606,3,6,FLICKER_END,frames=900 actual_hz=29.97
1775979192.1159606,3,10,REST_START,
1775979195.1203218,3,10,FLICKER_START,
1775979197.1261225,3,10,ANALYSIS_START,warmup=2.0s
1775979210.124678,3,10,FLICKER_END,frames=899 actual_hz=29.96
1775979210.124678,3,12,REST_START,
1775979213.1247737,3,12,FLICKER_START,
1775979215.1285539,3,12,ANALYSIS_START,warmup=2.0s
1775979228.1296604,3,12,FLICKER_END,frames=900 actual_hz=29.99
1775979228.1296604,3,15,REST_START,
1775979231.1441326,3,15,FLICKER_START,
1775979233.145886,3,15,ANALYSIS_START,warmup=2.0s
1775979246.1509802,3,15,FLICKER_END,frames=901 actual_hz=30.02
1775979246.1509802,4,6,REST_START,
1775979249.1602898,4,6,FLICKER_START,
1775979251.1658654,4,6,ANALYSIS_START,warmup=2.0s
1775979264.1725922,4,6,FLICKER_END,frames=902 actual_hz=30.04
1775979264.1725922,4,12,REST_START,
1775979267.1822777,4,12,FLICKER_START,
1775979269.1835012,4,12,ANALYSIS_START,warmup=2.0s
1775979282.19315,4,12,FLICKER_END,frames=901 actual_hz=30.01
1775979282.19315,4,10,REST_START,
1775979285.1966639,4,10,FLICKER_START,
1775979287.1987567,4,10,ANALYSIS_START,warmup=2.0s
1775979300.1967893,4,10,FLICKER_END,frames=899 actual_hz=29.97
1775979300.1967893,4,15,REST_START,
1775979303.196922,4,15,FLICKER_START,
1775979305.2093163,4,15,ANALYSIS_START,warmup=2.0s
1775979318.2027214,4,15,FLICKER_END,frames=901 actual_hz=30.02
1775979318.2027214,5,15,REST_START,
1775979321.212521,5,15,FLICKER_START,
1775979323.2257636,5,15,ANALYSIS_START,warmup=2.0s
1775979336.2133737,5,15,FLICKER_END,frames=900 actual_hz=30.00
1775979336.2133737,5,12,REST_START,
1775979339.2194135,5,12,FLICKER_START,
1775979341.2199588,5,12,ANALYSIS_START,warmup=2.0s
1775979354.2206454,5,12,FLICKER_END,frames=900 actual_hz=30.00
1775979354.2206454,5,10,REST_START,
1775979357.2356966,5,10,FLICKER_START,
1775979359.2442994,5,10,ANALYSIS_START,warmup=2.0s
1775979372.2437453,5,10,FLICKER_END,frames=901 actual_hz=30.02
1775979372.2437453,5,6,REST_START,
1775979375.2441082,5,6,FLICKER_START,
1775979377.2603137,5,6,ANALYSIS_START,warmup=2.0s
1775979390.25076,5,6,FLICKER_END,frames=901 actual_hz=30.02
1775979390.25076,6,12,REST_START,
1775979393.2577586,6,12,FLICKER_START,
1775979395.2658775,6,12,ANALYSIS_START,warmup=2.0s
1775979408.2609782,6,12,FLICKER_END,frames=899 actual_hz=29.96
1775979408.2609782,6,10,REST_START,
1775979411.2718313,6,10,FLICKER_START,
1775979413.275899,6,10,ANALYSIS_START,warmup=2.0s
1775979426.2887719,6,10,FLICKER_END,frames=901 actual_hz=30.00
1775979426.2887719,6,15,REST_START,
1775979429.3035693,6,15,FLICKER_START,
1775979431.317047,6,15,ANALYSIS_START,warmup=2.0s
1775979444.3179653,6,15,FLICKER_END,frames=901 actual_hz=30.00
1775979444.3179653,6,6,REST_START,
1775979447.3185744,6,6,FLICKER_START,
1775979449.319029,6,6,ANALYSIS_START,warmup=2.0s
1775979462.323975,6,6,FLICKER_END,frames=900 actual_hz=29.99
1775979462.3266482,6,,END,
