wall_time,run,freq_hz,event,note
1775978320.9226923,1,10,REST_START,
1775978323.927052,1,10,FLICKER_START,
1775978325.9272668,1,10,ANALYSIS_START,warmup=2.0s
1775978338.9336421,1,10,FLICKER_END,frames=902 actual_hz=30.05
1775978338.9336421,1,12,REST_START,
1775978341.9381192,1,12,FLICKER_START,
1775978343.943755,1,12,ANALYSIS_START,warmup=2.0s
1775978356.9462645,1,12,FLICKER_END,frames=902 actual_hz=30.05
1775978356.9465435,1,6,REST_START,
1775978359.9490297,1,6,FLICKER_START,
1775978361.9625916,1,6,ANALYSIS_START,warmup=2.0s
1775978374.9590745,1,6,FLICKER_END,frames=901 actual_hz=30.01
1775978374.9590745,1,15,REST_START,
1775978377.9693632,1,15,FLICKER_START,
1775978379.97578,1,15,ANALYSIS_START,warmup=2.0s
1775978392.9740398,1,15,FLICKER_END,frames=901 actual_hz=30.02
1775978392.9740398,2,6,REST_START,
1775978395.9793994,2,6,FLICKER_START,
1775978397.9817443,2,6,ANALYSIS_START,warmup=2.0s
1775978410.9940367,2,6,FLICKER_END,frames=902 actual_hz=30.04
1775978410.9940367,2,12,REST_START,
1775978414.0060003,2,12,FLICKER_START,
1775978416.019775,2,12,ANALYSIS_START,warmup=2.0s
1775978429.0084012,2,12,FLICKER_END,frames=902 actual_hz=30.06
1775978429.0084012,2,15,REST_START,
1775978432.024863,2,15,FLICKER_START,
1775978434.0329342,2,15,ANALYSIS_START,warmup=2.0s
1775978447.0307956,2,15,FLICKER_END,frames=902 actual_hz=30.05
1775978447.0307956,2,10,REST_START,
1775978450.0418456,2,10,FLICKER_START,
1775978452.0445445,2,10,ANALYSIS_START,warmup=2.0s
1775978465.0470304,2,10,FLICKER_END,frames=900 actual_hz=29.99
1775978465.0470304,3,6,REST_START,
1775978468.0518606,3,6,FLICKER_START,
1775978470.0545204,3,6,ANALYSIS_START,warmup=2.0s
1775978483.0669882,3,6,FLICKER_END,frames=902 actual_hz=30.04
1775978483.0669882,3,12,REST_START,
1775978486.0798104,3,12,FLICKER_START,
1775978488.0934858,3,12,ANALYSIS_START,warmup=2.0s
1775978501.0816178,3,12,FLICKER_END,frames=902 actual_hz=30.06
1775978501.0816178,3,10,REST_START,
1775978504.0954876,3,10,FLICKER_START,
1775978506.0973349,3,10,ANALYSIS_START,warmup=2.0s
1775978519.1037583,3,10,FLICKER_END,frames=901 actual_hz=30.02
1775978519.1037583,3,15,REST_START,
1775978522.1082535,3,15,FLICKER_START,
1775978524.1117325,3,15,ANALYSIS_START,warmup=2.0s
1775978537.1157181,3,15,FLICKER_END,frames=902 actual_hz=30.05
1775978537.1157181,4,15,REST_START,
1775978540.125141,4,15,FLICKER_START,
1775978542.1401029,4,15,ANALYSIS_START,warmup=2.0s
1775978555.1391366,4,15,FLICKER_END,frames=901 actual_hz=30.01
1775978555.1391366,4,6,REST_START,
1775978558.1515746,4,6,FLICKER_START,
1775978560.1655414,4,6,ANALYSIS_START,warmup=2.0s
1775978573.1546848,4,6,FLICKER_END,frames=901 actual_hz=30.03
1775978573.1546848,4,10,REST_START,
1775978576.1629407,4,10,FLICKER_START,
1775978578.1758356,4,10,ANALYSIS_START,warmup=2.0s
1775978591.1777275,4,10,FLICKER_END,frames=901 actual_hz=30.00
1775978591.1777275,4,12,REST_START,
1775978594.1792061,4,12,FLICKER_START,
1775978596.193369,4,12,ANALYSIS_START,warmup=2.0s
1775978609.1823993,4,12,FLICKER_END,frames=902 actual_hz=30.06
1775978609.1829174,5,10,REST_START,
1775978612.197501,5,10,FLICKER_START,
1775978614.2118347,5,10,ANALYSIS_START,warmup=2.0s
1775978627.2130666,5,10,FLICKER_END,frames=901 actual_hz=30.00
1775978627.2130666,5,15,REST_START,
1775978630.2181687,5,15,FLICKER_START,
1775978632.220925,5,15,ANALYSIS_START,warmup=2.0s
1775978645.2209806,5,15,FLICKER_END,frames=901 actual_hz=30.03
1775978645.2209806,5,6,REST_START,
1775978648.2324388,5,6,FLICKER_START,
1775978650.233056,5,6,ANALYSIS_START,warmup=2.0s
1775978663.2335029,5,6,FLICKER_END,frames=900 actual_hz=30.00
1775978663.2335029,5,12,REST_START,
1775978666.234929,5,12,FLICKER_START,
1775978668.2384064,5,12,ANALYSIS_START,warmup=2.0s
1775978681.245588,5,12,FLICKER_END,frames=902 actual_hz=30.05
1775978681.245588,6,6,REST_START,
1775978684.255118,6,6,FLICKER_START,
1775978686.265705,6,6,ANALYSIS_START,warmup=2.0s
1775978699.2655947,6,6,FLICKER_END,frames=900 actual_hz=29.98
1775978699.2655947,6,12,REST_START,
1775978702.281782,6,12,FLICKER_START,
1775978704.2963996,6,12,ANALYSIS_START,warmup=2.0s
1775978717.2917929,6,12,FLICKER_END,frames=900 actual_hz=29.98
1775978717.2917929,6,10,REST_START,
1775978720.2928371,6,10,FLICKER_START,
1775978722.3061178,6,10,ANALYSIS_START,warmup=2.0s
1775978735.2969313,6,10,FLICKER_END,frames=901 actual_hz=30.03
1775978735.2969313,6,15,REST_START,
1775978738.301865,6,15,FLICKER_START,
1775978740.3041499,6,15,ANALYSIS_START,warmup=2.0s
1775978753.3081164,6,15,FLICKER_END,frames=901 actual_hz=30.02
1775978753.312878,6,,END,
